"size","rate","rep","scenario","tau","n_pos","n_neg","tau_op","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
80,0.1,8,"B",0.4,30,470,0.215,0.6,0.953191489361702,0.45,0.973913043478261,0.776595744680851,0.553191489361702,0.756250549498657,0.514285714285714,0.5625,0.484257253824443,0.478527607361963,0.914468085106383,0.634079326288964
80,0.1,9,"B",0.4,31,469,0.138,0.67741935483871,0.948827292110874,0.466666666666667,0.978021978021978,0.813123323474792,0.626246646949584,0.801719384869237,0.552631578947368,0.621301775147929,0.527716564713311,0.517182618574269,0.893493362679689,0.551703420653935
80,0.1,11,"B",0.4,30,470,0.19,0.733333333333333,0.953191489361702,0.5,0.982456140350877,0.843262411347518,0.686524822695036,0.83606644006238,0.594594594594595,0.670731707317073,0.575515522129957,0.563445867287543,0.918404255319149,0.656674488025379
80,0.2,1,"A",0.6,37,400,0.206749999999998,0.648648648648649,0.95,0.545454545454545,0.966921119592875,0.799324324324324,0.598648648648649,0.784994405213321,0.592592592592593,0.625,0.553834812449607,0.551320742976261,0.90847972972973,0.710100375094889
80,0.2,1,"B",0.4,56,444,0.256999999999999,0.785714285714286,0.948198198198198,0.656716417910448,0.972286374133949,0.866956241956242,0.733912483912484,0.863141280447685,0.715447154471545,0.756013745704467,0.679435796449665,0.675901918660642,0.908844111969112,0.712476675699028
80,0.2,2,"A",0.6,39,400,0.185,0.615384615384615,0.9525,0.558139534883721,0.962121212121212,0.783942307692308,0.567884615384616,0.765606848293461,0.585365853658537,0.603015075376884,0.543551353795213,0.542764367111873,0.878621794871795,0.649567889258367
80,0.2,2,"B",0.4,59,441,0.325,0.593220338983051,0.950113378684807,0.614035087719298,0.945823927765237,0.771666858833929,0.543333717667858,0.75075067803881,0.603448275862069,0.597269624573379,0.551534477846199,0.551429574443188,0.87630193320266,0.640125185192268
80,0.2,3,"A",0.6,40,400,0.215,0.75,0.9525,0.612244897959184,0.974424552429668,0.85125,0.7025,0.845207075218848,0.674157303370786,0.717703349282297,0.64197763893937,0.637911464245176,0.9275625,0.764002206968647
80,0.2,3,"B",0.4,59,441,0.3,0.610169491525424,0.952380952380952,0.631578947368421,0.948081264108352,0.781275221953188,0.562550443906376,0.762308206339657,0.620689655172414,0.614334470989761,0.571041250069662,0.570932636423919,0.889503824128521,0.649724367607428
80,0.2,4,"A",0.6,38,400,0.17525,0.710526315789474,0.95,0.574468085106383,0.971867007672634,0.830263157894737,0.660526315789474,0.821583836257749,0.635294117647059,0.678391959798995,0.600723485490475,0.596589220987581,0.925131578947369,0.762483606243296
80,0.2,4,"B",0.4,58,442,0.32,0.620689655172414,0.950226244343891,0.620689655172414,0.950226244343891,0.785457949758153,0.570915899516305,0.767981510153459,0.620689655172414,0.620689655172414,0.570915899516305,0.570915899516306,0.881514276798252,0.717350172078553
80,0.2,5,"A",0.6,41,400,0.2255,0.658536585365854,0.95,0.574468085106383,0.964467005076142,0.804268292682927,0.608536585365854,0.790954964645624,0.613636363636364,0.639810426540284,0.572679421241511,0.571036219030726,0.907164634146341,0.690877313635095
