"nF","ipf","total_items","rep","alpha","beta","pattern","mcc_pattern_z15"
8,6,48,2,1.5,1.5,"acquiescent",0.1063
8,6,48,2,1.5,1.5,"mixed",0.0471
8,6,48,2,2,0.3,"clean",NA
8,6,48,2,2,0.3,"random",0.1525
8,6,48,2,2,0.3,"longstring",0.1537
8,6,48,2,2,0.3,"pure_straight",0.2183
8,6,48,2,2,0.3,"acquiescent",0.1118
8,6,48,2,2,0.3,"mixed",0.0521
8,6,48,2,2,0.5,"clean",NA
8,6,48,2,2,0.5,"random",0.1454
8,6,48,2,2,0.5,"longstring",0.1466
8,6,48,2,2,0.5,"pure_straight",0.2082
8,6,48,2,2,0.5,"acquiescent",0.1369
8,6,48,2,2,0.5,"mixed",0.0447
8,6,48,2,2,0.8,"clean",NA
8,6,48,2,2,0.8,"random",0.1277
8,6,48,2,2,0.8,"longstring",0.1288
8,6,48,2,2,0.8,"pure_straight",0.1829
8,6,48,2,2,0.8,"acquiescent",0.1464
8,6,48,2,2,0.8,"mixed",0.0252
8,6,48,2,2,1,"clean",NA
8,6,48,2,2,1,"random",0.1144
8,6,48,2,2,1,"longstring",0.1154
8,6,48,2,2,1,"pure_straight",0.1638
8,6,48,2,2,1,"acquiescent",0.1262
8,6,48,2,2,1,"mixed",0.009
8,6,48,2,2,1.5,"clean",NA
8,6,48,2,2,1.5,"random",0.0911
8,6,48,2,2,1.5,"longstring",0.0921
8,6,48,2,2,1.5,"pure_straight",0.1305
8,6,48,2,2,1.5,"acquiescent",0.0892
8,6,48,2,2,1.5,"mixed",0.0921
8,6,48,2,2.5,0.3,"clean",NA
8,6,48,2,2.5,0.3,"random",0.1525
8,6,48,2,2.5,0.3,"longstring",0.1537
8,6,48,2,2.5,0.3,"pure_straight",0.2183
8,6,48,2,2.5,0.3,"acquiescent",0.1118
8,6,48,2,2.5,0.3,"mixed",0.0521
8,6,48,2,2.5,0.5,"clean",NA
8,6,48,2,2.5,0.5,"random",0.1419
8,6,48,2,2.5,0.5,"longstring",0.1431
8,6,48,2,2.5,0.5,"pure_straight",0.2032
8,6,48,2,2.5,0.5,"acquiescent",0.1675
8,6,48,2,2.5,0.5,"mixed",0.041
8,6,48,2,2.5,0.8,"clean",NA
8,6,48,2,2.5,0.8,"random",0.1235
8,6,48,2,2.5,0.8,"longstring",0.1246
8,6,48,2,2.5,0.8,"pure_straight",0.1769
8,6,48,2,2.5,0.8,"acquiescent",0.1402
8,6,48,2,2.5,0.8,"mixed",0.0203
8,6,48,2,2.5,1,"clean",NA
8,6,48,2,2.5,1,"random",0.1065
8,6,48,2,2.5,1,"longstring",0.1075
8,6,48,2,2.5,1,"pure_straight",0.1525
8,6,48,2,2.5,1,"acquiescent",0.114
8,6,48,2,2.5,1,"mixed",-0.0013
8,6,48,2,2.5,1.5,"clean",NA
8,6,48,2,2.5,1.5,"random",0.0844
8,6,48,2,2.5,1.5,"longstring",0.0844
8,6,48,2,2.5,1.5,"pure_straight",0.1209
8,6,48,2,2.5,1.5,"acquiescent",0.1209
8,6,48,2,2.5,1.5,"mixed",0.0854
