"nF","ipf","total_items","rep","alpha","beta","mcc_z15","mcc_oracle"
16,6,96,4,1.5,1,0.4385,0.6086
16,6,96,4,1.5,1.5,0.4263,0.5771
16,6,96,4,2,0.3,0.4675,0.5745
16,6,96,4,2,0.5,0.4641,0.5947
16,6,96,4,2,0.8,0.4479,0.6287
16,6,96,4,2,1,0.4323,0.5958
16,6,96,4,2,1.5,0.4116,0.5418
16,6,96,4,2.5,0.3,0.4675,0.5774
16,6,96,4,2.5,0.5,0.4608,0.6118
16,6,96,4,2.5,0.8,0.4385,0.6022
16,6,96,4,2.5,1,0.4263,0.5776
16,6,96,4,2.5,1.5,0.3975,0.537
16,6,96,4,3,0.3,0.4675,0.5789
16,6,96,4,3,0.5,0.4543,0.6287
16,6,96,4,3,0.8,0.4354,0.5958
16,6,96,4,3,1,0.4204,0.5827
16,6,96,4,3,1.5,0.3732,0.5185
16,6,96,5,0,0.3,0.4036,0.5815
16,6,96,5,0,0.5,0.4036,0.5815
16,6,96,5,0,0.8,0.4036,0.5815
16,6,96,5,0,1,0.4036,0.5815
16,6,96,5,0,1.5,0.4036,0.5815
16,6,96,5,0.5,0.3,0.4036,0.5815
16,6,96,5,0.5,0.5,0.4036,0.5815
16,6,96,5,0.5,0.8,0.4139,0.5815
16,6,96,5,0.5,1,0.4044,0.5617
16,6,96,5,0.5,1.5,0.3982,0.5492
16,6,96,5,1,0.3,0.4036,0.5815
16,6,96,5,1,0.5,0.4203,0.5815
16,6,96,5,1,0.8,0.4013,0.5492
16,6,96,5,1,1,0.3982,0.5666
16,6,96,5,1,1.5,0.3892,0.5487
16,6,96,5,1.5,0.3,0.4036,0.5815
16,6,96,5,1.5,0.5,0.4171,0.5815
16,6,96,5,1.5,0.8,0.3982,0.5666
16,6,96,5,1.5,1,0.3892,0.5487
16,6,96,5,1.5,1.5,0.3659,0.515
16,6,96,5,2,0.3,0.4203,0.5815
16,6,96,5,2,0.5,0.4139,0.599
16,6,96,5,2,0.8,0.3952,0.5487
16,6,96,5,2,1,0.3892,0.5373
16,6,96,5,2,1.5,0.3609,0.5103
16,6,96,5,2.5,0.3,0.4203,0.5815
16,6,96,5,2.5,0.5,0.4139,0.5922
