experiment,size,rate,scenario,split,features,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te,direction,size_test,split_name,test_patterns
A1_cross_rep,50.0,0.1,B,2.0,triad,0.2970240339139832,0.29929577464788726,0.8512648822925485,0.7203389830508474,0.80605738575983,0.065,4000,2000,0.059,,,,
A1_cross_rep,50.0,0.1,B,2.0,norr,0.37222282678210317,0.365079365079365,0.8845868081197428,0.7796610169491526,0.8437832093517534,0.065,4000,2000,0.059,,,,
A1_cross_rep,50.0,0.2,A,0.0,full,0.47201780479349487,0.4831261101243338,0.9272093949044586,0.8662420382165605,0.83125,0.07,3516,1757,0.08935685828116106,,,,
A1_cross_rep,50.0,0.2,A,0.0,triad,0.42169512123003816,0.44935543278084716,0.8896476910828026,0.7770700636942676,0.835,0.075,3516,1757,0.08935685828116106,,,,
A1_cross_rep,50.0,0.2,A,0.0,norr,0.4281745629112578,0.4547134935304991,0.8950656847133759,0.7834394904458599,0.836875,0.075,3516,1757,0.08935685828116106,,,,
A1_cross_rep,50.0,0.2,A,1.0,full,0.44615637749489123,0.46619217081850534,0.9062106918238995,0.8238993710691824,0.83,0.07,3514,1759,0.09039226833428084,,,,
A1_cross_rep,50.0,0.2,A,1.0,triad,0.4404011500186587,0.46520146520146516,0.8971560534591195,0.7987421383647799,0.8375,0.08,3514,1759,0.09039226833428084,,,,
A1_cross_rep,50.0,0.2,A,1.0,norr,0.42129883029375215,0.44107744107744107,0.8971167452830189,0.8238993710691824,0.81,0.07,3514,1759,0.09039226833428084,,,,
A1_cross_rep,50.0,0.2,A,2.0,full,0.47946926325430134,0.497131931166348,0.9093729967948718,0.8333333333333334,0.851875,0.075,3517,1756,0.0888382687927107,,,,
A1_cross_rep,50.0,0.2,A,2.0,triad,0.4246511333419849,0.449725776965265,0.8755649038461538,0.7884615384615384,0.8325,0.075,3517,1756,0.0888382687927107,,,,
A1_cross_rep,50.0,0.2,A,2.0,norr,0.4271077593146334,0.4522058823529411,0.8819451121794872,0.7884615384615384,0.834375,0.075,3517,1756,0.0888382687927107,,,,
A1_cross_rep,50.0,0.2,B,0.0,full,0.4169939655920835,0.47146401985111663,0.8851053503787878,0.7916666666666666,0.7863636363636364,0.11,4000,2000,0.12,,,,
A1_cross_rep,50.0,0.2,B,0.0,triad,0.39184611736185054,0.452970297029703,0.8598153409090907,0.7625,0.78125,0.105,4000,2000,0.12,,,,
A1_cross_rep,50.0,0.2,B,0.0,norr,0.39505242380033123,0.45333333333333337,0.8496081912878789,0.7791666666666667,0.7738636363636363,0.11,4000,2000,0.12,,,,
A1_cross_rep,50.0,0.2,B,1.0,full,0.4383184074283291,0.4903225806451613,0.8907239372836373,0.7949790794979079,0.8035207268597387,0.11,4000,2000,0.1195,,,,
A1_cross_rep,50.0,0.2,B,1.0,triad,0.415933491153319,0.4782608695652174,0.8480739119794526,0.7364016736401674,0.817717206132879,0.11024999999999864,4000,2000,0.1195,,,,
A1_cross_rep,50.0,0.2,B,1.0,norr,0.39963087711288997,0.46274509803921565,0.8546031044551995,0.7405857740585774,0.8018171493469619,0.11,4000,2000,0.1195,,,,
A1_cross_rep,50.0,0.2,B,2.0,full,0.44871327672057654,0.5,0.8900355964229015,0.8008298755186722,0.8078453666856168,0.11,4000,2000,0.1205,,,,
A1_cross_rep,50.0,0.2,B,2.0,triad,0.41424142958240273,0.4731457800511509,0.8667528466523087,0.7676348547717843,0.7976122797043775,0.10974999999999908,4000,2000,0.1205,,,,
A1_cross_rep,50.0,0.2,B,2.0,norr,0.3905003755835187,0.45208845208845205,0.8625810591174258,0.7634854771784232,0.7788516202387721,0.115,4000,2000,0.1205,,,,
