sens,spec,ppv,npv,bal_acc,youden_j,g_mean,f1,f2,mcc,kappa,auc,auprc,tau_op,size,rate,rep,scenario,tau,n_pos,n_neg
0.53125,0.9487179487179487,0.4146341463414634,0.9673202614379085,0.7399839743589743,0.4799679487179487,0.7099340886704978,0.4657534246575343,0.5029585798816568,0.4281657081150288,0.42437123627346796,0.8572716346153846,0.4725276017713102,0.2425940476190476,50,0.1,1,B,0.4,32,468
0.6,0.948936170212766,0.42857142857142855,0.9737991266375546,0.774468085106383,0.548936170212766,0.7545606020245554,0.5,0.5555555555555556,0.4699742031035358,0.4623655913978494,0.8802127659574468,0.5272383927253753,0.20174970238095208,50,0.1,2,B,0.4,30,470
0.6,0.948936170212766,0.42857142857142855,0.9737991266375546,0.774468085106383,0.548936170212766,0.7545606020245554,0.5,0.5555555555555556,0.4699742031035358,0.4623655913978494,0.8609929078014184,0.5863247124209201,0.1553158189033188,50,0.1,3,B,0.4,30,470
0.41935483870967744,0.9488272921108742,0.35135135135135137,0.9611231101511879,0.6840910654102759,0.36818213082055173,0.6307894387563061,0.38235294117647056,0.40372670807453415,0.33918654611144194,0.3376647953068821,0.7790425751427196,0.46630935269773893,0.17599047619047611,50,0.1,4,B,0.4,31,469
0.6428571428571429,0.9491525423728814,0.42857142857142855,0.9781659388646288,0.7960048426150121,0.5920096852300243,0.7811334658849433,0.5142857142857143,0.5844155844155844,0.4907060839923518,0.47929429061504536,0.8687575665859564,0.46728531000229806,0.18256666666666665,50,0.1,5,B,0.4,28,472
0.7241379310344828,0.9490445859872612,0.4666666666666667,0.9824175824175824,0.8365912585108719,0.6731825170217438,0.828998904074241,0.5675675675675675,0.6521739130434783,0.5498323973297269,0.5347484733934283,0.9148912804744125,0.6550132938199795,0.18255059523809525,50,0.1,6,B,0.4,29,471
0.6666666666666666,0.9486081370449678,0.4782608695652174,0.9757709251101322,0.8076374018558172,0.6152748037116345,0.7952392248227229,0.5569620253164557,0.6179775280898876,0.5285398029928463,0.5200745941202282,0.9016611511258192,0.6900870599921619,0.15802242063492059,50,0.1,7,B,0.4,33,467
0.4482758620689655,0.9490445859872612,0.35135135135135137,0.9654427645788337,0.6986602240281133,0.3973204480562267,0.6522528496873923,0.393939393939394,0.42483660130718953,0.3547799037191331,0.3517858300382446,0.8156160773116626,0.4797624534042267,0.18850198412698416,50,0.1,8,B,0.4,29,471
0.53125,0.9487179487179487,0.4146341463414634,0.9673202614379085,0.7399839743589743,0.4799679487179487,0.7099340886704978,0.4657534246575343,0.5029585798816568,0.4281657081150288,0.42437123627346796,0.9079527243589745,0.5982961365841856,0.19655357142857138,50,0.1,9,B,0.4,32,468
0.5517241379310345,0.9490445859872612,0.4,0.9717391304347827,0.7503843619591478,0.5007687239182956,0.7236095674201228,0.463768115942029,0.5128205128205128,0.43145721685738775,0.4251087632069609,0.865985796910462,0.5184890125019226,0.17087202380952382,50,0.1,10,B,0.4,29,471
0.5,0.948936170212766,0.38461538461538464,0.9674620390455532,0.7244680851063829,0.4489361702127659,0.6888164378892122,0.4347826086956522,0.4716981132075472,0.3975679692791144,0.39365671641791034,0.8266312056737588,0.47627041047855956,0.19152708333333313,50,0.1,11,B,0.4,30,470
0.5333333333333333,0.948936170212766,0.4,0.9695652173913043,0.7411347517730497,0.4822695035460993,0.7114065580103559,0.4571428571428572,0.5,0.42217299051361706,0.4171779141104295,0.845886524822695,0.5601617887709296,0.18415555555555532,50,0.1,12,B,0.4,30,470
0.5737704918032787,0.9498861047835991,0.6140350877192983,0.9413092550790068,0.7618282982934389,0.5236565965868778,0.7382524077162136,0.5932203389830507,0.5813953488372093,0.5392677706701345,0.5388694616300964,0.8217259793121475,0.6383520839344895,0.31483690476190446,50,0.2,1,B,0.4,61,439
0.5833333333333334,0.95,0.6140350877192983,0.9435665914221218,0.7666666666666666,0.5333333333333332,0.7444237144709098,0.5982905982905983,0.5892255892255892,0.5453325244369324,0.5451025938830816,0.8399810606060606,0.6659441228028117,0.2860544642857141,50,0.2,2,B,0.4,60,440
0.5333333333333333,0.95,0.5925925925925926,0.9372197309417041,0.7416666666666667,0.4833333333333334,0.7118052168020874,0.5614035087719299,0.54421768707483,0.5060394810436336,0.5051464766429137,0.8722916666666667,0.6582236877125313,0.30901249999999986,50,0.2,3,B,0.4,60,440
0.6935483870967742,0.9497716894977168,0.6615384615384615,0.9563218390804598,0.8216600382972455,0.6433200765944911,0.8116111281650343,0.6771653543307087,0.6869009584664537,0.6304616847349724,0.6302308802308803,0.8812417145382235,0.743688656998298,0.21775684523809455,50,0.2,4,B,0.4,62,438
0.4915254237288136,0.9478458049886621,0.5576923076923077,0.9330357142857143,0.7196856143587378,0.4393712287174756,0.6825615803183113,0.5225225225225225,0.5034722222222222,0.4643401490099472,0.46317154201442345,0.8336408009531496,0.6362099036372366,0.2731190476190476,50,0.2,5,B,0.4,59,441
0.6065573770491803,0.9498861047835991,0.6271186440677966,0.9455782312925171,0.7782217409163897,0.5564434818327795,0.7590523198126745,0.6166666666666666,0.6105610561056105,0.5645116857605751,0.5644104389985227,0.8564546846409498,0.645507812640378,0.28994246031746007,50,0.2,6,B,0.4,61,439
0.423728813559322,0.9478458049886621,0.5208333333333334,0.9247787610619469,0.6857873092739921,0.37157461854798424,0.6337425174193588,0.4672897196261682,0.44014084507042256,0.4069129440006726,0.4042143991972573,0.7954187324647374,0.5417784285029379,0.3469722222222222,50,0.2,7,B,0.4,59,441
0.4827586206896552,0.9479638009049773,0.5490196078431373,0.933184855233853,0.7153612107973163,0.4307224215946326,0.67648924380851,0.5137614678899083,0.49469964664310956,0.4557370667833162,0.45455293923925577,0.8590068653456079,0.5875358742347503,0.33115952380952396,50,0.2,8,B,0.4,58,442
0.5084745762711864,0.9478458049886621,0.5660377358490566,0.9351230425055929,0.7281601906299242,0.4563203812598484,0.694230144881387,0.5357142857142858,0.5190311418685121,0.47821530449294086,0.477344912153741,0.7985894922940928,0.5358558297580015,0.3330952380952381,50,0.2,9,B,0.4,59,441
0.5666666666666667,0.95,0.6071428571428571,0.9414414414414415,0.7583333333333333,0.5166666666666666,0.7337120234351713,0.5862068965517241,0.5743243243243243,0.5323863455567027,0.53198127925117,0.8722727272727272,0.6341346660820771,0.3497854166666658,50,0.2,10,B,0.4,60,440
0.6166666666666667,0.95,0.6271186440677966,0.9478458049886621,0.7833333333333333,0.5666666666666667,0.7653975002136689,0.6218487394957983,0.6187290969899666,0.5708004798514626,0.5707745135444486,0.8667424242424242,0.6315753298984089,0.32344454365079356,50,0.2,11,B,0.4,60,440
0.6333333333333333,0.95,0.6333333333333333,0.95,0.7916666666666666,0.5833333333333333,0.7756717518813396,0.6333333333333333,0.6333333333333333,0.5833333333333334,0.5833333333333333,0.8724053030303031,0.6890259152475656,0.2668294642857126,50,0.2,12,B,0.4,60,440
0.4583333333333333,0.95,0.7432432432432432,0.8474178403755869,0.7041666666666666,0.4083333333333332,0.6598610964943051,0.5670103092783505,0.4963898916967509,0.4911075331781784,0.46996466431095407,0.8170942982456139,0.6874620408826372,0.5105884920634924,50,0.4,1,B,0.4,120,380
0.45454545454545453,0.9498680738786279,0.7432432432432432,0.8450704225352113,0.7022067642120412,0.4044135284240824,0.6570831114854317,0.5641025641025641,0.492831541218638,0.48777249348192153,0.4660267363554126,0.8381233781809461,0.6881251223940781,0.5301857142857141,50,0.4,2,B,0.4,121,379
0.425,0.95,0.7285714285714285,0.8395348837209302,0.6875,0.375,0.6354132513569417,0.5368421052631579,0.4636363636363636,0.46156241951618476,0.4373401534526854,0.8717214912280702,0.7211507966207004,0.5764675595238096,50,0.4,3,B,0.4,120,380
0.4596774193548387,0.949468085106383,0.75,0.8419811320754716,0.7045727522306109,0.4091455044612218,0.660642898335767,0.57,0.4982517482517482,0.492144713386768,0.47013012618296535,0.8355031743308167,0.6921697201852602,0.5839910714285714,50,0.4,4,B,0.4,124,376
0.4793388429752066,0.9498680738786279,0.7532467532467533,0.851063829787234,0.7146034584269173,0.4292069168538346,0.6747656359893186,0.5858585858585859,0.5169340463458111,0.5092880149445507,0.4898340094069631,0.7784186310211736,0.6623979905269252,0.46045595238095194,50,0.4,5,B,0.4,121,379
0.43333333333333335,0.95,0.7323943661971831,0.8414918414918415,0.6916666666666667,0.3833333333333333,0.6416125518306719,0.5445026178010471,0.47186932849364793,0.4690306098192946,0.4455773642620443,0.8206359649122807,0.6571480654620503,0.5535442460317462,50,0.4,6,B,0.4,120,380
0.45901639344262296,0.9497354497354498,0.7466666666666667,0.8447058823529412,0.7043759215890364,0.4087518431780728,0.6602606613014088,0.5685279187817259,0.49733570159857904,0.4916549800588619,0.470074812967581,0.8284001214329083,0.7179517766254615,0.5408761904761903,50,0.4,7,B,0.4,122,378
0.43333333333333335,0.95,0.7323943661971831,0.8414918414918415,0.6916666666666667,0.3833333333333333,0.6416125518306719,0.5445026178010471,0.47186932849364793,0.4690306098192946,0.4455773642620443,0.8294736842105264,0.6687787071208902,0.5435116071428575,50,0.4,8,B,0.4,120,380
0.5645161290322581,0.949468085106383,0.7865168539325843,0.8686131386861314,0.7569921070693206,0.5139842141386413,0.7321134120093183,0.6572769953051644,0.5982905982905983,0.5802813752092896,0.5676789690623963,0.8829036547700755,0.7642459492048116,0.53146875,50,0.4,9,B,0.4,124,376
0.5166666666666667,0.95,0.7654320987654321,0.8615751789976134,0.7333333333333334,0.4666666666666668,0.7005949852327901,0.6169154228855721,0.5525846702317291,0.5409282727769192,0.5250431778929188,0.8482127192982456,0.7073535901628497,0.506856746031746,50,0.4,10,B,0.4,120,380
0.48760330578512395,0.9498680738786279,0.7564102564102564,0.8530805687203792,0.718735689831876,0.43747137966375194,0.6805577219332445,0.592964824120603,0.5249110320284698,0.51636691621588,0.49766818813256597,0.8729257070585926,0.7465401460141602,0.5325761904761905,50,0.4,11,B,0.4,121,379
0.4166666666666667,0.95,0.7246376811594203,0.8375870069605569,0.6833333333333333,0.3666666666666667,0.6291528696058958,0.5291005291005292,0.4553734061930783,0.45403639976400384,0.4290479856299717,0.8262390350877193,0.6896673066448519,0.567811011904762,50,0.4,12,B,0.4,120,380
0.45555555555555555,0.95,0.8367346938775511,0.7562189054726368,0.7027777777777777,0.40555555555555545,0.6578584785330184,0.5899280575539568,0.5012224938875306,0.49038314245407305,0.45044350173544156,0.7894965277777778,0.7573590482516035,0.6134083333333333,50,0.6,1,B,0.4,180,320
0.5444444444444444,0.95,0.8596491228070176,0.7875647668393783,0.7472222222222222,0.49444444444444446,0.7191816336797139,0.6666666666666667,0.5875299760191847,0.5656954234417494,0.5375613439033597,0.834331597222222,0.7879497351370303,0.5638892857142862,50,0.6,2,B,0.4,180,320
0.45,0.95,0.8350515463917526,0.7543424317617866,0.7,0.3999999999999999,0.653834841531101,0.5848375451263538,0.49571603427172584,0.4855487527132736,0.4448735277080518,0.8273437499999999,0.7739127210603076,0.6428351190476193,50,0.6,3,B,0.4,180,320
0.45555555555555555,0.95,0.8367346938775511,0.7562189054726368,0.7027777777777777,0.40555555555555545,0.6578584785330184,0.5899280575539568,0.5012224938875306,0.49038314245407305,0.45044350173544156,0.8020225694444445,0.7591341818654139,0.6568428571428572,50,0.6,4,B,0.4,180,320
0.3388888888888889,0.95,0.7922077922077922,0.7186761229314421,0.6444444444444444,0.28888888888888875,0.5674014843516401,0.47470817120622577,0.38268506900878296,0.38417273015634357,0.33022425084342133,0.7865711805555555,0.7183059776925311,0.6718953373015875,50,0.6,5,B,0.4,180,320
0.4222222222222222,0.95,0.8260869565217391,0.7450980392156863,0.6861111111111111,0.37222222222222223,0.6333333333333333,0.5588235294117647,0.46798029556650245,0.4610940776168948,0.416796267496112,0.8047569444444445,0.7582014590838766,0.6595321428571429,50,0.6,6,B,0.4,180,320
0.4,0.95,0.8181818181818182,0.7378640776699029,0.675,0.3500000000000001,0.6164414002968976,0.537313432835821,0.44554455445544555,0.4411531066966461,0.3940578577013292,0.7789409722222221,0.731780229051222,0.6451750000000003,50,0.6,7,B,0.4,180,320
0.49444444444444446,0.95,0.8476190476190476,0.769620253164557,0.7222222222222222,0.4444444444444444,0.6853628398317363,0.6245614035087719,0.5393939393939394,0.5237638572162521,0.4890162368672397,0.8279340277777777,0.7760697377288631,0.6117821428571432,50,0.6,8,B,0.4,180,320
0.4666666666666667,0.95,0.84,0.76,0.7083333333333333,0.4166666666666665,0.6658328118479393,0.6000000000000001,0.5121951219512195,0.5,0.46153846153846156,0.7990711805555555,0.7690243913538153,0.6062924603174603,50,0.6,9,B,0.4,180,320
0.4444444444444444,0.95,0.8333333333333334,0.7524752475247525,0.6972222222222222,0.3944444444444444,0.6497862896539309,0.5797101449275363,0.49019607843137253,0.4806963076905793,0.4392884764114462,0.8347569444444445,0.7793312995949025,0.6947690476190478,50,0.6,10,B,0.4,180,320
0.3888888888888889,0.95,0.813953488372093,0.7342995169082126,0.6694444444444444,0.3388888888888888,0.6078194176270156,0.5263157894736842,0.43424317617866004,0.43104158939647214,0.382595060760486,0.7949392361111111,0.7365658399159126,0.6416895833333333,50,0.6,11,B,0.4,180,320
0.5277777777777778,0.95,0.8558558558558559,0.781491002570694,0.7388888888888889,0.47777777777777786,0.7080881928749334,0.6529209621993127,0.5716004813477737,0.5518243975149023,0.521508432821679,0.8489930555555556,0.8096322211541201,0.5900041666666667,50,0.6,12,B,0.4,180,320
0.6451612903225806,0.9488272921108742,0.45454545454545453,0.9758771929824561,0.7969942912167274,0.5939885824334548,0.7823980061781419,0.5333333333333333,0.5952380952380952,0.5056343918804952,0.4967215000575175,0.8683884723846209,0.6216831414584871,0.11869999999999992,80,0.1,1,B,0.4,31,469
0.696969696969697,0.9486081370449678,0.48936170212765956,0.977924944812362,0.8227889170073324,0.6455778340146647,0.8131120007841601,0.575,0.6424581005586593,0.5492448464897186,0.5392704211610386,0.8747972227629616,0.6367971470500394,0.1496,80,0.1,2,B,0.4,33,467
0.5714285714285714,0.9491525423728814,0.4,0.9739130434782609,0.7602905569007263,0.5205811138014527,0.7364596943186587,0.47058823529411764,0.5263157894736842,0.4411939127399698,0.4332493702770781,0.8829449152542375,0.5784883961096466,0.1662107142857143,80,0.1,3,B,0.4,28,472
