"nF","ipf","total_items","rep","z_threshold","n_true_careless","n_noise","n_clean","mcc_std","mcc_f","sens_std","spec_std","sens_f","spec_f","noise_flagged_std","noise_flagged_f","mode_std","mode_f","n_pairs_std","n_pairs_f"
20,6,120,1,1.1,24,21,255,0.486722175455849,0.433440368862527,0.875,0.851449275362319,0.666666666666667,0.898550724637681,0.476190476190476,0.380952380952381,"coupled","efa_d",215,424
20,6,120,1,1.3,24,21,255,0.456638197027351,0.416772067439841,0.875,0.829710144927536,0.708333333333333,0.873188405797101,0.523809523809524,0.428571428571429,"coupled","efa_d",215,424
20,6,120,1,1.5,24,21,255,0.451961575475105,0.365345074344665,0.875,0.826086956521739,0.708333333333333,0.83695652173913,0.523809523809524,0.476190476190476,"coupled","efa_d",215,424
20,6,120,1,1.7,24,21,255,0.441462194079983,0.331171538891482,0.916666666666667,0.797101449275362,0.708333333333333,0.807971014492754,0.571428571428571,0.523809523809524,"coupled","efa_d",215,424
20,6,120,1,1.9,24,21,255,0.430709760199962,0.294517173714281,0.958333333333333,0.764492753623188,0.708333333333333,0.771739130434783,0.571428571428571,0.619047619047619,"coupled","efa_d",215,424
20,6,120,1,2.1,24,21,255,0.400324503550536,0.302141073407122,0.958333333333333,0.731884057971015,0.75,0.753623188405797,0.666666666666667,0.619047619047619,"coupled","efa_d",215,424
20,6,120,1,2.3,24,21,255,0.376098839538905,0.313252730529969,0.958333333333333,0.702898550724638,0.791666666666667,0.739130434782609,0.666666666666667,0.619047619047619,"coupled","efa_d",215,424
20,6,120,1,2.5,24,21,255,0.368793870092243,0.328629139286801,1,0.66304347826087,0.916666666666667,0.670289855072464,0.761904761904762,0.761904761904762,"coupled","efa_d",215,424
20,6,120,1,2.7,24,21,255,0.348911350395459,0.301412216471354,1,0.634057971014493,0.916666666666667,0.630434782608696,0.761904761904762,0.761904761904762,"coupled","efa_d",215,424
20,6,120,1,2.9,24,21,255,0.323819911429738,0.268083231602425,1,0.594202898550725,0.916666666666667,0.576086956521739,0.80952380952381,0.761904761904762,"coupled","efa_d",215,424
30,6,180,1,0.1,21,24,255,0.487844248107856,0.372482917263746,0.333333333333333,0.992831541218638,0.19047619047619,0.996415770609319,0.0416666666666667,0.0416666666666667,"coupled","efa_d",484,1010
30,6,180,1,0.3,21,24,255,0.458512369387107,0.476846143238327,0.333333333333333,0.989247311827957,0.285714285714286,0.996415770609319,0.0833333333333333,0.0416666666666667,"coupled","efa_d",484,1010
30,6,180,1,0.5,21,24,255,0.434810059840074,0.5644289024419,0.380952380952381,0.978494623655914,0.380952380952381,0.996415770609319,0.208333333333333,0.0416666666666667,"coupled","efa_d",484,1010
30,6,180,1,0.7,21,24,255,0.416606700619267,0.544017408835629,0.380952380952381,0.974910394265233,0.428571428571429,0.989247311827957,0.25,0.0833333333333333,"coupled","efa_d",484,1010
30,6,180,1,0.9,21,24,255,0.400017307775526,0.496748814803048,0.380952380952381,0.971326164874552,0.428571428571429,0.982078853046595,0.25,0.0833333333333333,"coupled","efa_d",484,1010
30,6,180,1,1.1,21,24,255,0.465048922815152,0.441309077895755,0.476190476190476,0.967741935483871,0.428571428571429,0.971326164874552,0.25,0.125,"coupled","efa_d",484,1010
30,6,180,1,1.3,21,24,255,0.423980741817889,0.400656940296672,0.476190476190476,0.956989247311828,0.476190476190476,0.949820788530466,0.333333333333333,0.208333333333333,"coupled","efa_d",484,1010
30,6,180,1,1.5,21,24,255,0.426275361647324,0.440779126219777,0.523809523809524,0.946236559139785,0.571428571428571,0.939068100358423,0.333333333333333,0.291666666666667,"coupled","efa_d",484,1010
30,6,180,1,1.7,21,24,255,0.396568581965035,0.4213253347831,0.523809523809524,0.935483870967742,0.619047619047619,0.917562724014337,0.375,0.375,"coupled","efa_d",484,1010
30,6,180,1,1.9,21,24,255,0.446349045411987,0.385280599204956,0.619047619047619,0.92831541218638,0.619047619047619,0.899641577060932,0.375,0.375,"coupled","efa_d",484,1010
30,6,180,1,2.1,21,24,255,0.47665210056448,0.384937114931641,0.714285714285714,0.913978494623656,0.666666666666667,0.881720430107527,0.375,0.416666666666667,"coupled","efa_d",484,1010
30,6,180,1,2.3,21,24,255,0.46338778913679,0.405030299690383,0.761904761904762,0.89247311827957,0.761904761904762,0.85663082437276,0.416666666666667,0.458333333333333,"coupled","efa_d",484,1010
