"nF","ipf","total_items","rep","method","z_threshold","mcc","sens","spec","noise_flagged","oracle_mcc"
4,3,12,1,"proplow_fz1.5",0.3,0,1,0,1,0.157015269164373
4,3,12,1,"proplow_fz1.5",0.4,0.059871435384272,1,0.0467625899280576,0.91304347826087,0.157015269164373
4,3,12,1,"proplow_fz1.5",0.5,0.059871435384272,1,0.0467625899280576,0.91304347826087,0.157015269164373
4,3,12,1,"proplow_fz1.5",0.6,0.059871435384272,1,0.0467625899280576,0.91304347826087,0.157015269164373
4,3,12,1,"proplow_fz1.5",0.7,0.157015269164373,0.818181818181818,0.482014388489209,0.608695652173913,0.157015269164373
4,3,12,1,"proplow_fz1.5",0.8,0.157015269164373,0.818181818181818,0.482014388489209,0.608695652173913,0.157015269164373
4,3,12,1,"proplow_fz2.0",0.1,0,1,0,1,0.133262485033351
4,3,12,1,"proplow_fz2.0",0.2,0,1,0,1,0.133262485033351
4,3,12,1,"proplow_fz2.0",0.3,0,1,0,1,0.133262485033351
4,3,12,1,"proplow_fz2.0",0.4,0.0230460133033402,1,0.00719424460431655,0.956521739130435,0.133262485033351
4,3,12,1,"proplow_fz2.0",0.5,0.0230460133033402,1,0.00719424460431655,0.956521739130435,0.133262485033351
4,3,12,1,"proplow_fz2.0",0.6,0.0230460133033402,1,0.00719424460431655,0.956521739130435,0.133262485033351
