"nF","ipf","total_items","rep","method","z_threshold","mcc","sens","spec","noise_flagged","oracle_mcc"
4,3,12,1,"proplow_fz2.0",0.7,0.133262485033351,0.909090909090909,0.327338129496403,0.739130434782609,0.133262485033351
4,3,12,1,"proplow_fz2.0",0.8,0.133262485033351,0.909090909090909,0.327338129496403,0.739130434782609,0.133262485033351
8,3,24,1,"std",0.1,0.255548070054204,0.590909090909091,0.81294964028777,0.521739130434783,0.255548070054204
8,3,24,1,"std",0.3,0.223273438340288,0.636363636363636,0.748201438848921,0.565217391304348,0.255548070054204
8,3,24,1,"std",0.5,0.17492291174319,0.681818181818182,0.643884892086331,0.652173913043478,0.255548070054204
8,3,24,1,"std",0.7,0.170629307043592,0.772727272727273,0.553956834532374,0.652173913043478,0.255548070054204
8,3,24,1,"std",0.9,0.142783562259946,0.818181818181818,0.453237410071942,0.695652173913043,0.255548070054204
8,3,24,1,"std",1.1,0.120929664873706,0.863636363636364,0.356115107913669,0.695652173913043,0.255548070054204
8,3,24,1,"std",1.3,0.0738253703431308,0.863636363636364,0.258992805755396,0.739130434782609,0.255548070054204
8,3,24,1,"std",1.5,0.0319517254591097,0.863636363636364,0.183453237410072,0.826086956521739,0.255548070054204
8,3,24,1,"std",1.7,0.0397994227989983,0.909090909090909,0.143884892086331,0.91304347826087,0.255548070054204
8,3,24,1,"std",1.9,0.0385540422581805,0.954545454545455,0.0863309352517986,0.91304347826087,0.255548070054204
8,3,24,1,"std",2.1,0.0172296592278875,0.954545454545455,0.0611510791366906,0.956521739130435,0.255548070054204
8,3,24,1,"std",2.3,-0.0078303629989854,0.954545454545455,0.039568345323741,0.956521739130435,0.255548070054204
8,3,24,1,"std",2.5,0.0434814634128159,1,0.0251798561151079,1,0.255548070054204
8,3,24,1,"std",2.7,0.0282729643226657,1,0.0107913669064748,1,0.255548070054204
8,3,24,1,"std",2.9,0.0230460133033402,1,0.00719424460431655,1,0.255548070054204
8,3,24,1,"std_cf",0.1,0.162433388657936,0.454545454545455,0.802158273381295,0.478260869565217,0.224810070061676
8,3,24,1,"std_cf",0.3,0.132712797568072,0.5,0.73021582733813,0.478260869565217,0.224810070061676
8,3,24,1,"std_cf",0.5,0.151346015950485,0.590909090909091,0.683453237410072,0.521739130434783,0.224810070061676
8,3,24,1,"std_cf",0.7,0.224810070061676,0.818181818181818,0.607913669064748,0.565217391304348,0.224810070061676
8,3,24,1,"std_cf",0.9,0.184680197846723,0.818181818181818,0.535971223021583,0.652173913043478,0.224810070061676
8,3,24,1,"std_cf",1.1,0.17558595366148,0.863636363636364,0.471223021582734,0.652173913043478,0.224810070061676
8,3,24,1,"std_cf",1.3,0.136131378986265,0.863636363636364,0.388489208633094,0.652173913043478,0.224810070061676
8,3,24,1,"std_cf",1.5,0.11074348371771,0.863636363636364,0.334532374100719,0.695652173913043,0.224810070061676
8,3,24,1,"std_cf",1.7,0.0756576341644414,0.863636363636364,0.262589928057554,0.782608695652174,0.224810070061676
8,3,24,1,"std_cf",1.9,0.0426790561682863,0.863636363636364,0.201438848920863,0.869565217391304,0.224810070061676
8,3,24,1,"std_cf",2.1,0.0571848859733081,0.909090909090909,0.172661870503597,0.956521739130435,0.224810070061676
8,3,24,1,"std_cf",2.3,0.0326989201248529,0.909090909090909,0.133093525179856,0.956521739130435,0.224810070061676
8,3,24,1,"std_cf",2.5,0.0534900048931362,0.954545454545455,0.107913669064748,1,0.224810070061676
8,3,24,1,"std_cf",2.7,0.0330011959985155,0.954545454545455,0.079136690647482,1,0.224810070061676
8,3,24,1,"std_cf",2.9,0.023922154107888,0.954545454545455,0.0683453237410072,1,0.224810070061676
8,3,24,1,"efa_d",0.1,0.214730165911493,0.636363636363636,0.737410071942446,0.434782608695652,0.305547236713193
8,3,24,1,"efa_d",0.3,0.183974001085412,0.681818181818182,0.658273381294964,0.565217391304348,0.305547236713193
8,3,24,1,"efa_d",0.5,0.166867536617046,0.727272727272727,0.589928057553957,0.608695652173913,0.305547236713193
8,3,24,1,"efa_d",0.7,0.169734250827844,0.818181818181818,0.507194244604317,0.608695652173913,0.305547236713193
8,3,24,1,"efa_d",0.9,0.144548388054761,0.818181818181818,0.456834532374101,0.652173913043478,0.305547236713193
8,3,24,1,"efa_d",1.1,0.102683704231321,0.818181818181818,0.370503597122302,0.869565217391304,0.305547236713193
8,3,24,1,"efa_d",1.3,0.074361268683893,0.818181818181818,0.31294964028777,0.869565217391304,0.305547236713193
8,3,24,1,"efa_d",1.5,0.0682635220076349,0.863636363636364,0.248201438848921,0.956521739130435,0.305547236713193
8,3,24,1,"efa_d",1.7,0.0405819047115699,0.863636363636364,0.197841726618705,0.956521739130435,0.305547236713193
8,3,24,1,"efa_d",1.9,0.0487379999881323,0.909090909090909,0.158273381294964,0.956521739130435,0.305547236713193
8,3,24,1,"efa_d",2.1,0.0747000585966293,0.954545454545455,0.143884892086331,0.956521739130435,0.305547236713193
8,3,24,1,"efa_d",2.3,0.055783433340349,0.954545454545455,0.111510791366906,1,0.305547236713193
8,3,24,1,"efa_d",2.5,0.0848188929679971,1,0.0899280575539568,1,0.305547236713193
8,3,24,1,"efa_d",2.7,0.0810611901711108,1,0.0827338129496403,1,0.305547236713193
