"size","rate","rep","scenario","tau","mcc_full","f1_full","mcc_norr","f1_norr","mcc_triad","f1_triad","delta_mcc","delta_f1"
150,0.2,2,"A",0.6,0.731237284548406,0.747252747252747,0.67203302521,0.696629213483146,0.680057777779023,0.704545454545455,0.0592042593384058,0.0506235337696012
150,0.2,2,"B",0.4,0.710017934434495,0.744186046511628,0.621337907399449,0.666666666666667,0.65778385417873,0.699186991869919,0.0886800270350461,0.0775193798449614
150,0.2,3,"A",0.6,0.768597081903877,0.778947368421053,0.6089707349123,0.64367816091954,0.760705585633762,0.770833333333333,0.159626346991577,0.135269207501512
150,0.2,3,"B",0.4,0.713757564977449,0.748091603053435,0.589878035996231,0.638655462184874,0.667757314522686,0.708661417322835,0.123879528981218,0.109436140868561
150,0.2,4,"A",0.6,0.72995488200305,0.741573033707865,0.602258435876816,0.634146341463415,0.639946333421933,0.666666666666667,0.127696446126234,0.10742669224445
150,0.2,4,"B",0.4,0.731168679556834,0.75968992248062,0.55787946852174,0.608695652173913,0.60971086472125,0.65546218487395,0.173289211035094,0.150994270306707
150,0.2,5,"A",0.6,0.651085628461799,0.681318681318681,0.616846841685516,0.651685393258427,0.66788812237731,0.695652173913043,0.0342387867762832,0.0296332880602544
150,0.2,5,"B",0.4,0.675067222969603,0.714285714285714,0.577232022752604,0.627118644067797,0.686811554300918,0.724409448818898,0.097835200216999,0.0871670702179177
150,0.4,1,"A",0.6,0.823119381920718,0.860606060606061,0.704726555202043,0.763157894736842,0.778284221818742,0.825,0.118392826718675,0.0974481658692186
150,0.4,1,"B",0.4,0.506671870715363,0.584615384615385,0.492018071391168,0.569948186528497,0.53404917969035,0.609137055837564,0.0146537993241951,0.0146671980868873
150,0.4,2,"A",0.6,0.79710003321708,0.842105263157895,0.701596099064161,0.7625,0.780012964172392,0.828402366863905,0.0955039341529185,0.0796052631578947
150,0.4,2,"B",0.4,0.59059131086117,0.666666666666667,0.543934813891723,0.621359223300971,0.628461132716146,0.700460829493088,0.0466564969694471,0.0453074433656957
150,0.4,3,"A",0.6,0.854932068148575,0.886363636363636,0.7481288642646,0.8,0.854932068148575,0.886363636363636,0.106803203883975,0.0863636363636363
150,0.4,3,"B",0.4,0.650325986043279,0.721461187214612,0.603828313250407,0.676190476190476,0.598254729319467,0.672985781990521,0.0464976727928725,0.0452707110241358
150,0.4,4,"A",0.6,0.771488079015756,0.819875776397516,0.572992419234321,0.642857142857143,0.726184377413891,0.782051282051282,0.198495659781435,0.177018633540373
150,0.4,4,"B",0.4,0.641554011584354,0.712962962962963,0.533942174801491,0.61,0.595477333558455,0.669856459330144,0.107611836782863,0.102962962962963
150,0.4,5,"A",0.6,0.835063319811475,0.870588235294118,0.755898679362057,0.807453416149068,0.835063319811475,0.870588235294118,0.0791646404494183,0.0631348191450494
150,0.4,5,"B",0.4,0.61798177009529,0.691588785046729,0.571527951536984,0.647342995169082,0.571527951536984,0.647342995169082,0.0464538185583059,0.0442457898776468
200,0.2,1,"A",0.6,0.756426754724839,0.765957446808511,0.636846325805328,0.666666666666667,0.772761360012258,0.778947368421053,0.119580428919511,0.0992907801418439
200,0.2,1,"B",0.4,0.73749640382736,0.765625,0.60971086472125,0.65546218487395,0.683812983200096,0.72,0.12778553910611,0.11016281512605
200,0.2,2,"A",0.6,0.768711432917691,0.774193548387097,0.610781522967705,0.642857142857143,0.768711432917691,0.774193548387097,0.157929909949985,0.131336405529954
