size,rate,rep,scenario,tau,mcc_full,f1_full,mcc_norr,f1_norr,delta_mcc,delta_f1
30,0.2,4,B,0.4,0.4270664989697392,0.48648648648648646,0.4129698271224177,0.4727272727272728,0.014096671847321496,0.013759213759213684
30,0.2,5,B,0.4,0.5077446970945437,0.5641025641025641,0.45466894736542296,0.5132743362831858,0.05307574972912077,0.05082822781937835
30,0.2,6,B,0.4,0.47904222782961003,0.5357142857142857,0.45133546692422005,0.509090909090909,0.027706760905389982,0.02662337662337666
30,0.2,7,B,0.4,0.364960294702242,0.4259259259259259,0.4359407689598473,0.4955752212389381,-0.07098047425760529,-0.06964929531301223
30,0.2,8,B,0.4,0.3887769241888703,0.4485981308411215,0.3887769241888703,0.4485981308411215,0.0,0.0
30,0.2,9,B,0.4,0.40829622437078583,0.4672897196261682,0.3785025010011734,0.4380952380952381,0.029793723369612446,0.029194481530930128
30,0.2,10,B,0.4,0.33912385417458085,0.4,0.35437972449564437,0.41509433962264153,-0.015255870321063514,-0.015094339622641506
30,0.2,11,B,0.4,0.47904222782961003,0.5357142857142857,0.40829622437078583,0.4672897196261682,0.0707460034588242,0.06842456608811748
30,0.2,12,B,0.4,0.41715614334529055,0.4761904761904762,0.35506464044286284,0.4158415841584158,0.06209150290242771,0.0603488920320604
30,0.4,1,B,0.4,0.42331129804734013,0.49729729729729727,0.383325098725783,0.4555555555555556,0.039986199321557114,0.04174174174174167
30,0.4,2,B,0.4,0.4264394311074797,0.5027322404371585,0.45771184102037776,0.5347593582887701,-0.031272409912898036,-0.03202711785161161
30,0.4,3,B,0.4,0.4436038169255602,0.5212765957446809,0.4588345001397039,0.5368421052631579,-0.01523068321414367,-0.015565509518477016
30,0.4,4,B,0.4,0.43267718608170896,0.507936507936508,0.3695785072997375,0.4419889502762431,0.06309867878197145,0.06594755766026494
30,0.4,5,B,0.4,0.4544640357033165,0.5319148936170213,0.46965233601122364,0.5473684210526315,-0.015188300307907132,-0.015453527435610237
30,0.4,6,B,0.4,0.4838013156933665,0.5595854922279792,0.44645048706451784,0.5212765957446809,0.03735082862884864,0.03830889648329827
30,0.4,7,B,0.4,0.4658045374108122,0.5416666666666666,0.4124992134581376,0.48648648648648657,0.053305323952674566,0.05518018018018006
30,0.4,8,B,0.4,0.40226117149952445,0.47777777777777775,0.41039467802350793,0.4861878453038673,-0.00813350652398348,-0.008410067526089582
30,0.4,9,B,0.4,0.45403639976400384,0.5291005291005292,0.44645048706451784,0.5212765957446809,0.007585912699485997,0.0078239333558483
30,0.4,10,B,0.4,0.503196466077758,0.5816326530612246,0.4512491361243466,0.5291005291005292,0.05194732995341145,0.0525321239606954
30,0.4,11,B,0.4,0.4390348921216099,0.5161290322580646,0.3745310818904307,0.44943820224719105,0.06450381023117918,0.06669083001087356
30,0.4,12,B,0.4,0.46156241951618476,0.5368421052631579,0.46156241951618476,0.5368421052631579,0.0,0.0
30,0.6,1,B,0.4,0.38950324428070476,0.4806201550387597,0.4361097276776753,0.5318352059925093,-0.046606483396970544,-0.05121505095374962
30,0.6,2,B,0.4,0.4806963076905793,0.5797101449275363,0.42594789445200165,0.5207547169811322,0.05474841323857765,0.05895542794640407
30,0.6,3,B,0.4,0.4105050699039556,0.5038167938931297,0.40006613209931935,0.4923076923076923,0.010438937804636228,0.011509101585437442
