size,rate,condition,rep,pattern,n,detection,detection_norr,mean_corruption
120,0.4,clean,1,acquiescent,20,0.65,0.8,0.55
120,0.4,clean,1,fatigue,20,0.65,0.6,0.55
120,0.4,clean,1,longstring,20,0.5,0.4,0.55
120,0.4,clean,1,mixed,20,0.5,0.3,0.55
120,0.4,clean,1,pure_straight,20,0.55,0.7,0.55
120,0.4,clean,1,random,20,0.45,0.15,0.55
120,0.4,clean,2,acquiescent,20,0.75,0.8,0.55
120,0.4,clean,2,fatigue,20,0.65,0.55,0.55
120,0.4,clean,2,longstring,20,0.65,0.65,0.5499999999999999
120,0.4,clean,2,mixed,20,0.35,0.3,0.5499999999999999
120,0.4,clean,2,pure_straight,20,0.6,0.65,0.55
120,0.4,clean,2,random,20,0.3,0.15,0.55
120,0.4,clean,3,acquiescent,20,0.6,0.6,0.55
120,0.4,clean,3,fatigue,20,0.55,0.55,0.5499999999999999
120,0.4,clean,3,longstring,20,0.55,0.4,0.55
120,0.4,clean,3,mixed,20,0.45,0.45,0.55
120,0.4,clean,3,pure_straight,20,0.65,0.65,0.55
120,0.4,clean,3,random,20,0.45,0.3,0.55
120,0.4,clean,4,acquiescent,20,0.7,0.65,0.55
120,0.4,clean,4,fatigue,20,0.45,0.5,0.55
120,0.4,clean,4,longstring,20,0.6,0.5,0.5499999999999999
120,0.4,clean,4,mixed,20,0.25,0.15,0.55
120,0.4,clean,4,pure_straight,20,0.7,0.7,0.55
120,0.4,clean,4,random,20,0.35,0.3,0.55
120,0.4,realistic,1,acquiescent,13,0.46153846153846156,0.38461538461538464,0.5538461538461539
120,0.4,realistic,1,anchor_noise,13,0.38461538461538464,0.6153846153846154,0.5153846153846154
120,0.4,realistic,1,fatigue,13,0.3076923076923077,0.5384615384615384,0.5461538461538461
120,0.4,realistic,1,language_barrier,13,0.5384615384615384,0.5384615384615384,0.4730769230769231
120,0.4,realistic,1,longstring,14,0.5714285714285714,0.21428571428571427,0.5857142857142856
120,0.4,realistic,1,mixed,13,0.5384615384615384,0.23076923076923078,0.5615384615384614
120,0.4,realistic,1,positional_fatigue,13,0.3076923076923077,0.23076923076923078,0.47435897435897423
120,0.4,realistic,1,pure_straight,14,0.7142857142857143,0.7142857142857143,0.5714285714285714
120,0.4,realistic,1,random,14,0.6428571428571429,0.5714285714285714,0.5071428571428571
120,0.4,realistic,2,acquiescent,13,0.46153846153846156,0.46153846153846156,0.523076923076923
120,0.4,realistic,2,anchor_noise,13,0.8461538461538461,0.8461538461538461,0.6000000000000001
120,0.4,realistic,2,fatigue,13,0.5384615384615384,0.23076923076923078,0.5615384615384614
120,0.4,realistic,2,language_barrier,13,0.46153846153846156,0.46153846153846156,0.5384615384615384
120,0.4,realistic,2,longstring,14,0.42857142857142855,0.35714285714285715,0.5285714285714286
120,0.4,realistic,2,mixed,13,0.46153846153846156,0.3076923076923077,0.5769230769230769
120,0.4,realistic,2,positional_fatigue,13,0.46153846153846156,0.3076923076923077,0.48269230769230764
120,0.4,realistic,2,pure_straight,14,0.5714285714285714,0.6428571428571429,0.5214285714285715
120,0.4,realistic,2,random,14,0.2857142857142857,0.2857142857142857,0.5642857142857143
120,0.4,realistic,3,acquiescent,13,0.46153846153846156,0.6153846153846154,0.5615384615384615
120,0.4,realistic,3,anchor_noise,13,0.46153846153846156,0.5384615384615384,0.6
120,0.4,realistic,3,fatigue,13,0.38461538461538464,0.46153846153846156,0.5538461538461539
120,0.4,realistic,3,language_barrier,13,0.6923076923076923,0.46153846153846156,0.5596153846153847
120,0.4,realistic,3,longstring,14,0.5,0.35714285714285715,0.55
120,0.4,realistic,3,mixed,13,0.5384615384615384,0.15384615384615385,0.5538461538461538
120,0.4,realistic,3,positional_fatigue,13,0.15384615384615385,0.38461538461538464,0.47051282051282056
120,0.4,realistic,3,pure_straight,14,0.6428571428571429,0.5714285714285714,0.5285714285714286
120,0.4,realistic,3,random,14,0.5714285714285714,0.5,0.4928571428571429
120,0.4,realistic,4,acquiescent,13,0.5384615384615384,0.6153846153846154,0.5076923076923077
120,0.4,realistic,4,anchor_noise,13,0.46153846153846156,0.3076923076923077,0.5384615384615385
120,0.4,realistic,4,fatigue,13,0.46153846153846156,0.3076923076923077,0.6230769230769231
120,0.4,realistic,4,language_barrier,13,0.5384615384615384,0.6153846153846154,0.5724358974358975
