"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
8,10,80,500,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.158794798250597,0.758620689655172,0.682105263157895,22,648,302,7,2.21305741065286,0.114188635863549
20,10,200,500,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.628833374415233,0.724137931034483,0.983157894736842,21,934,16,8,5.87832522219533,0.0598346182866371
20,10,200,500,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.458326716126113,0.482758620689655,0.983157894736842,14,934,16,15,5.35297339347971,0.852680593220011
20,10,200,500,0.05,0.1,0.7,TRUE,0.687615839338061,1,0.375258383869394,0.379310344827586,0.983157894736842,11,934,16,18,4.56766797588275,1.01504901978239
30,10,300,500,0.05,0.03,1.3,TRUE,1.25333805539459,1,0.692821188092192,0.6,0.995789473684211,18,946,4,12,7.87051865553659,0.952989428468802
30,10,300,500,0.05,0.05,1.3,TRUE,1.25333805539459,1,0.532876602855361,0.466666666666667,0.991578947368421,14,942,8,16,7.00398156922333,1.28428973395165
30,10,300,500,0.05,0.1,1.3,TRUE,1.25333805539459,1,0.477779847321957,0.333333333333333,0.995789473684211,10,946,4,20,6.09416558774825,1.60156169997146
8,3,24,100,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.0590028260453131,0.909090909090909,0.188888888888889,10,34,146,1,-0.0230893848293981,0.0242367148771568
8,3,24,100,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.0643072493366067,0.909090909090909,0.2,10,36,144,1,-0.0257426189991684,-0.00564578171994751
8,3,24,100,0.1,0.1,0.9,TRUE,0.890196788843219,1,-0.00246075347534002,0.818181818181818,0.177777777777778,9,32,148,2,0.0145496226102421,-0.45640253704397
20,3,60,100,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.141247169449841,0.615384615384615,0.655555555555556,8,118,62,5,1.08051741225353,0.638602243256249
20,3,60,100,0.1,0.05,0.7,TRUE,0.687615839338061,1,0.128211126306109,0.615384615384615,0.633333333333333,8,114,66,5,1.33605644059958,0.812127863995267
20,3,60,100,0.1,0.1,0.7,TRUE,0.687615839338061,1,0.0662367783214518,0.384615384615385,0.733333333333333,5,132,48,8,1.43758742913234,1.77634565333459
30,3,90,100,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.327154478573175,0.727272727272727,0.833333333333333,8,150,30,3,2.48805410643978,0.684339515321398
30,3,90,100,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.237220528549165,0.454545454545455,0.888888888888889,5,160,20,6,2.77392333402226,1.6167664066517
30,3,90,100,0.1,0.1,1.3,TRUE,1.25333805539459,1,0.0353535353535354,0.0909090909090909,0.944444444444444,1,170,10,10,2.96595603862475,2.45591292802868
