"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"183";"0";97498,6;86545,17;83327,94;79370;81156,56;93139,94
"184";"1";50100;34562;33384,44;35071,25;31618,57;55092,1
"185";"0";90326,5;71112;70448,61;65372,95;67449,55;99387,94
"186";"1";31803,33;26220;15253,33;21801,25;20667,14;31987,78
"187";"1";11944,44;6337;7768,89;8293,75;7194,44;8640
"188";"0";48035;51007;40544;42135;41457;45723
"189";"0";69921,19;74382,5;59167,78;78586,94;52747,87;74070
"190";"1";42952,22;46282;35042,22;38256,67;36955;40708,89
"191";"0";66857,78;56871,43;49387;55556,17;39088,75;91296,22
"192";"1";45227,78;57946,39;42192,5;39605,71;36341,11;44148,75
"193";"0";63012,22;94963,75;77189,78;91833,79;52873,29;82804,43
"194";"0";65654,7;58720,69;45484,44;40296,67;53127,45;60390,6
"195";"0";61469;70148;60908,89;50916,67;54064;72894,44
"196";"1";16747;13548;10502;8371;12356;9773
"197";"0";97278,14;91942,75;88140,75;78763,2;74519,39;84322
"198";"0";33712,5;36273,75;28816,25;34320,25;24791,67;32578,33
"199";"1";39391;47077,14;31473;32416,25;34053;46735
"200";"1";121487,45;108347,55;85772,06;90158,65;93347,37;82312,29
"201";"0";57350;66330;48173,33;65975,2;53252,22;58016,67
"202";"0";70687;59272,22;70485,8;60132,5;65431,89;50415
"203";"1";31422,86;68282,5;41836,67;35876,25;34005;49550
"204";"1";54745,56;44712,5;51075,36;50654,29;46541,25;50881,25
"205";"0";49430;83448,55;49101,11;44777;61731,72;49528
"206";"1";48866,67;56963,33;44385;45142,22;39512,5;59384,44
"207";"0";47950;42789;39081,11;39148,75;33025;40780
"208";"1";40381,67;52907,78;40828;52303,75;38167,78;42465
"209";"0";50672,22;46794;37431,11;59593,6;66011,11;60764,6
"210";"0";69807,3;67581,11;49080;56348,75;49737,78;61108,57
"211";"1";10972;7632;7897;6303;9219;7426
"212";"0";63859;64233,33;57211;51783,33;65421,3;63882
"213";"1";83670;64138;62062,86;80517,57;45061,11;73018
"214";"0";60615,56;56826,67;50767;49281,11;52850;68970
"215";"0";52903;48967,78;49337,78;47692,5;44590;46413
"216";"0";43807,78;43823,75;33508,89;54220;41795;56228
"217";"1";57124;55741;35530,83;44581,25;47912;49378,89
"218";"0";42934;54201,25;40853;43005;45088,75;75834,71
"219";"0";60231,11;78637,5;56488,89;52654;84047,56;76198,88
"220";"1";44015,71;67100;33142,22;36227,5;36288,33;47730
"221";"0";44411,11;41220;38490;40438,89;61224,44;56364
"222";"0";77130;71399,17;51326,67;57548;52739;63328,89
"223";"1";44610;47299;30850;31528,75;33979;39622,22
"224";"0";98420,67;90538,11;78947,33;75637,5;75550,69;102145,89
"225";"1";9674;13762,22;7941;8448;8118;7213
"226";"0";57807;55915,56;56727,8;44368,33;57198,89;63468,88
"227";"1";42958;15857;13804;25282;19820;15085,56
"228";"0";50696,25;60191,11;39317;41285,71;39016,25;44480
"229";"1";63648;49876,25;60436,05;48473,33;15239;11954
"230";"1";27732;15783,33;12037;10560;9684,44;8919
"231";"0";46973,33;50776,67;46540;37560;58540,61;44415,56
"232";"0";68502;60048;47581;46742;42610;53130,15
"233";"1";60776;50975,56;41584,44;41845;44598,75;49911
"234";"0";64261,25;76596,67;60063,75;52566;63426,29;74767
"235";"1";46634;81769,65;35487;59795,45;36194;47908,89
"236";"0";64581,25;69871,11;46243,33;58058,75;48520;68554,29
"237";"1";14777;12111;10128;8862;9703,33;9632
"238";"1";73089,44;73067,5;59341,6;49783,75;58673,33;56658,75
"239";"0";38378,75;45602,22;35462;30180;38370;43391,11
"240";"0";49616;54447;34038,89;42612,86;41420;41445
"241";"0";56363;59301,11;40475,56;53612;51975;49352,22
"242";"1";53377,78;35387,14;29822,5;42357,78;37750;43828,75
"243";"1";81993;90608,75;70123;67124;60842;78263
"244";"0";74814,71;51820;48468,75;55870;53896;51266,67
"245";"0";52101,25;65801,25;38334,44;54823,71;42135;54476,67
"246";"0";41912;47135,56;43744;32731,11;27444;5676
"247";"1";70411;74312,22;60129,75;63675;67085,56;66362,5
"248";"0";89089,5;105295,21;78632;76200,06;63742,45;74034,44
"249";"0";74346,25;55988;48657;44528,89;50237,78;66380
"250";"1";62707,78;69812;71620,75;57087,78;50340,75;75578
"251";"1";67067,61;55896;62962;50398,57;36237,78;51252,5
"252";"0";42108;41952;42747;36837,78;45002,22;46389
"253";"0";58928;55414,44;42921;53957,78;38771;50629
"254";"1";64990;69981,11;56793,75;20506,67;11391;13290
"255";"0";38073;36603,33;27811,25;32751,11;30636,25;33054
"256";"1";70135,56;88229,22;55529,8;77396;68039,89;60592
"257";"1";41095;38881;35674,44;30757,5;34972;36152
"258";"0";85277;78350;64650,94;64742;67247,17;74064,44
"259";"0";98367,5;89619,65;68167;71388;73302;85800,94
"260";"0";78623,75;69232;55469,8;55089;55243;63689
"261";"1";76815;70561;63918;58034;69980,2;68707
"262";"0";83178,3;70813,75;70106,8;78326,55;74469,3;74084,3
"263";"0";49891;58288,89;42034;47679;42108;56261,25
"264";"1";88595;118427,25;72102,8;68079;95731,72;90935,5
"265";"0";88387;99582;58465;66004;53342,5;80141,95
"266";"0";55041,45;49233;49383,33;52035;30480;49594,12
"267";"0";82809,8;74946;64669,75;58516;57612;70012
"268";"0";38990;38736;37751;32949;40712,22;36067
"269";"1";31152,22;45141;25988;30296;27897;32010
"270";"0";35541,11;56939,3;33989;32376,67;27684,44;39716
"271";"0";83201,4;89902,05;60055;73398;64310,3;74459
"272";"1";56477,33;77186,56;59255,75;47614,2;35223;43922,89
"273";"1";35027;38612;31286,25;36798,9;35093;43305
"274";"1";36620;27546;22419;23700;15153;16837
"275";"0";78626;76432;69572;71434;58612,3;62586,39
"276";"0";41314;34657;36765;34482,5;28214,44;35239
"277";"1";36642;47803;35755;36665;36822,22;43719
"278";"0";101191,33;96674,78;81497,56;82246,17;87188,75;83270
"279";"1";20440;25453;23327,78;24855,56;21296,67;27487
"280";"0";57204,5;60031,12;40548,75;36176,2;19062,22;29245
"281";"1";41662;50888;28802;24097;32872;29828,89
"282";"0";24180;30743,33;24392;28362,9;19697;38566,75
"283";"0";73176,67;86835;56365;53092;55426,06;52367
"284";"1";25617;18563,33;18795;13572;16152,22;12742,22
"285";"1";33137;31033,9;27072,5;22274;18238;27957,6
"286";"1";11704,44;20843;14369;13945,56;15300;12764
"287";"0";96287,67;75077;48347,5;62769;91234,45;84015,9
"288";"0";68782,22;65698;49752,86;50108,75;49330;60635
"289";"0";67633,2;74941;53310,75;57945,2;62136,9;54033
"290";"1";50518;56933;38648;51110;43072;55336,67
"291";"1";39691;48559;37826;38218,89;36366;44363
"292";"0";39170;47822;30736;40674;44674,45;42347
"293";"1";31143;29811,11;38017;33978;29709;27976
"294";"1";58888,4;55046;45412;46644;52701;49157
"295";"0";47930;59238;48970;46570;47183;56745
"296";"0";27897;27171;23032;23795;45717,55;24793
"297";"1";26242,5;18942;15538;11012;12621;14103
"298";"1";41841;13542;13917;14468,89;24449,11;10775
"299";"0";18842;22232,22;25684,75;29853;33165,2;23936,67
