"nF","ipf","total_items","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
8,3,24,0.05,3,0.0736067704518188,1.4,0.0786347255736425,0.6,0.0476070544070153,0.8,4,67
10,3,30,0.05,3,0.0598091277023035,0.3,0.191179778225468,0.2,0.122121487752159,0.5,7,58
15,3,45,0.05,3,0.113832889499138,1,0.169753894958368,1,0.181915570342194,1.1,9,97
20,3,60,0.05,3,0.127081826151462,1.1,0.142959579917098,0.9,0.0953772305865502,0.7,11,147
25,3,75,0.05,3,0.155048687227,0.1,0.118911005293413,0.7,0.00470355231175984,1.2,7,396
30,3,90,0.05,3,0.220643958912456,1.2,0.228626004388036,0.4,0.262851496269108,0.2,16,243
4,6,24,0.05,3,0.0432040284404663,1.4,0.110308216633117,1.4,0.0632987151897847,1.8,3,96
6,6,36,0.05,3,0.148915823683586,0.7,0.226335439975046,0.6,0.218182263406767,0.2,5,118
8,6,48,0.05,3,0.248509469626006,0.2,0.191906700156674,0.6,0.256076255699242,0.8,6,186
10,6,60,0.05,3,0.181915570342194,1.5,0.298245614035088,0.1,0.250124100280664,0.7,7,247
15,6,90,0.05,3,0.302103986288399,0.6,0.284371501811608,0.1,0.330420401131675,1.1,9,435
20,6,120,0.05,3,0.320619368952935,0.6,0.438085827115181,0.8,0.443511038596483,0.1,12,612
25,6,150,0.05,3,0.421463615211762,0.3,0.255498937076319,2.1,0.36609729362711,1.7,16,667
30,6,180,0.05,3,0.457246865704683,1.3,0.404208673962418,1.7,0.451251906102929,1.7,21,736
4,10,40,0.05,3,0.0988807764266864,2.2,0.102439046798281,2.9,0.200779727095517,0.3,4,185
6,10,60,0.05,3,0.151380784876138,2.1,0.275344395876967,0.5,0.256076255699242,0.7,4,475
8,10,80,0.05,3,0.251672815364581,1.8,0.407940517633554,0.5,0.298210025989613,0.1,6,513
10,10,100,0.05,3,0.408156831665728,0.1,0.407940517633554,0.8,0.418458258716602,1.5,8,601
15,10,150,0.05,3,0.282432340811827,2.7,0.262620212390128,2.5,0.287485229867853,1.4,11,993
20,10,200,0.05,3,0.53162427441007,0.7,0.438085827115181,1.6,0.567480306535024,0.8,17,1098
25,10,250,0.05,3,0.53162427441007,1.5,0.357094915286524,1.9,0.506711709709532,0.2,17,1788
30,10,300,0.05,3,0.53162427441007,1.7,0.373366522943865,2.9,0.622699849077239,1.4,22,2010
4,3,12,0.1,3,0.0374289742696231,1.5,0.145172128870775,0.4,0.11425360740952,0.5,2,31
6,3,18,0.1,3,0.0921568721794746,0.6,0.215790655671559,0.5,0.123383384894013,1.4,4,34
8,3,24,0.1,3,0.149451219166902,0.3,0.148544753541397,0.5,0.206110889213413,1.1,7,36
10,3,30,0.1,3,0.156956985265806,0.2,0.0743084714514896,1.5,0.0885789614729038,1,4,106
15,3,45,0.1,3,0.164963795305898,2.1,0.237925476281887,0.2,0.157934513826448,0.2,8,109
20,3,60,0.1,3,0.241651889050997,0.1,0.17886189940726,0.5,0.258801640156433,0.7,10,172
25,3,75,0.1,3,0.206679481973257,1,0.322250523881182,0.6,0.275865384295431,0.2,12,214
30,3,90,0.1,3,0.176660127671464,2.1,0.0955746724019118,1.8,0.149071198499986,0.3,11,364
4,6,24,0.1,3,0.0714411935922805,2.6,0.150755672288882,0.2,0.18037690071509,0.1,3,87
6,6,36,0.1,3,0.184645612584942,0.1,0.177260891031209,1.7,0.204340325887986,0.2,5,124
8,6,48,0.1,3,0.125691714535028,0.1,0.151326484263147,1.3,0.19525593058425,1,6,173
10,6,60,0.1,3,0.297233885805958,0.2,0.445435403187374,0.3,0.33173865226741,0.2,8,202
15,6,90,0.1,3,0.236111111111111,1,0.333333333333333,1.3,0.338243600425229,0.9,9,419
20,6,120,0.1,3,0.399771250263647,0.6,0.397320369859928,0.8,0.585286727709776,0.2,14,495
25,6,150,0.1,3,0.568694832458417,0.9,0.39803350093256,2.1,0.498261303830856,2.1,16,671
30,6,180,0.1,3,0.629134287227701,1.8,0.534522483824849,2,0.52616685622394,0.1,19,805
4,10,40,0.1,3,0.159403518541548,0.7,0.242464322484436,0.8,0.257417882210651,1.1,3,271
6,10,60,0.1,3,0.197027811397889,0.1,0.350819662931274,0.1,0.417366973091744,0.1,5,369
8,10,80,0.1,3,0.266666666666667,2.7,0.261309831967395,0.6,0.294198674602327,0.5,7,452
10,10,100,0.1,3,0.392232270276368,0.2,0.475090747610224,0.8,0.386243639668214,2,7,688
15,10,150,0.1,3,0.440971206158074,1.1,0.502518907629606,1.7,0.546793151927797,1.3,12,896
20,10,200,0.1,3,0.496724344709282,1.5,0.371390676354104,2,0.568694832458417,1.6,15,1279
25,10,250,0.1,3,0.551993743327195,1.9,0.400355042785976,2.7,0.688247201611685,0.9,20,1469
30,10,300,0.1,3,0.757240185418536,3,0.463699325906795,2.9,0.568713380174395,3,22,1985
4,3,12,0.25,3,0.113500870767833,1.8,0.0769868794742983,0.3,0.114074594073409,1,5,12
6,3,18,0.25,3,0.181602789641358,1.5,0.165372377163219,1.4,0.17330138606361,0.7,3,46
8,3,24,0.25,3,0.142585809007536,1.3,0.258087703237239,0.1,0.146969384566991,0.3,5,49
10,3,30,0.25,3,0.183258725265917,0.7,0.204676029378124,0.1,0.196762979990184,1.6,8,46
15,3,45,0.25,3,0.320329640899484,0.7,0.275714764882454,0.1,0.338817557130027,0.7,7,131
20,3,60,0.25,3,0.350891337184779,0.7,0.321633760451338,0.6,0.33910215700436,0.6,12,132
25,3,75,0.25,3,0.303366247664825,3,0.376938584867762,1.3,0.391374301277127,1.3,16,164
30,3,90,0.25,3,0.376480105721775,2.5,0.417362852058861,1.4,0.338240712601273,0.6,13,314
4,6,24,0.25,3,0.180644787799141,0.9,0.21711298242631,0.8,0.300577222468148,0.7,4,72
6,6,36,0.25,3,0.230254551052343,1.2,0.277155620717383,0.9,0.33586083136978,0.2,5,118
8,6,48,0.25,3,0.198697529042875,2,0.314269680527354,1.1,0.292121710707901,0.7,5,216
10,6,60,0.25,3,0.350891337184779,1,0.339683110243379,0.5,0.3951303898468,0.3,8,220
15,6,90,0.25,3,0.426800797257608,1.1,0.335968420452646,1.2,0.414513896020202,1.9,11,336
20,6,120,0.25,3,0.428362375594622,1.2,0.360041149911548,2.1,0.457313298718617,1.2,15,443
25,6,150,0.25,3,0.492394430136758,1.1,0.324628243002123,1.6,0.608942762070422,1.4,19,570
