"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn"
3,19,5,2.3,0.0581238193719096,1,0.0166666666666667,60,4,236,0
3,19,5,2.5,0.040961596025952,1,0.00833333333333333,60,2,238,0
3,19,5,2.7,0.028915746598312,1,0.00416666666666667,60,1,239,0
3,19,5,2.9,0,1,0,60,0,240,0
3,19,6,0.1,0.0209202782768839,0.666666666666667,0.358333333333333,40,86,154,20
3,19,6,0.3,-0.00732134265821778,0.7,0.291666666666667,42,70,170,18
3,19,6,0.5,-0.0606835045547051,0.733333333333333,0.204166666666667,44,49,191,16
3,19,6,0.7,0.00443695723387502,0.833333333333333,0.170833333333333,50,41,199,10
3,19,6,0.9,0,0.866666666666667,0.133333333333333,52,32,208,8
3,19,6,1.1,-0.0401055592449842,0.883333333333333,0.0875,53,21,219,7
3,19,6,1.3,-0.0140358653511086,0.933333333333333,0.0583333333333333,56,14,226,4
3,19,6,1.5,0.0245571879722468,0.966666666666667,0.0458333333333333,58,11,229,2
3,19,6,1.7,0.0879315572640824,1,0.0375,60,9,231,0
3,19,6,1.9,0.0650944554904119,1,0.0208333333333333,60,5,235,0
3,19,6,2.1,0.0581238193719096,1,0.0166666666666667,60,4,236,0
3,19,6,2.3,0.0502518907629606,1,0.0125,60,3,237,0
3,19,6,2.5,0.040961596025952,1,0.00833333333333333,60,2,238,0
3,19,6,2.7,0.040961596025952,1,0.00833333333333333,60,2,238,0
3,19,6,2.9,0,1,0,60,0,240,0
3,19,7,0.1,0.0543589158365044,0.65,0.416666666666667,39,100,140,21
3,19,7,0.3,0.0363696483726654,0.733333333333333,0.308333333333333,44,74,166,16
3,19,7,0.5,0.103023422755445,0.833333333333333,0.279166666666667,50,67,173,10
3,19,7,0.7,0.0736542924210355,0.85,0.225,51,54,186,9
3,19,7,0.9,0.0861460984507896,0.883333333333333,0.2,53,48,192,7
3,19,7,1.1,0.0933520056018673,0.916666666666667,0.166666666666667,55,40,200,5
3,19,7,1.3,0.0426135181400395,0.916666666666667,0.116666666666667,55,28,212,5
3,19,7,1.5,0.065162949552527,0.95,0.0958333333333333,57,23,217,3
3,19,7,1.7,0.039193090083481,0.95,0.075,57,18,222,3
3,19,7,1.9,0.061586078800968,0.966666666666667,0.0708333333333333,58,17,223,2
3,19,7,2.1,0.0912331247822062,0.983333333333333,0.0708333333333333,59,17,223,1
3,19,7,2.3,0.086503478530999,0.983333333333333,0.0666666666666667,59,16,224,1
3,19,7,2.5,0.0815912390008274,0.983333333333333,0.0625,59,15,225,1
3,19,7,2.7,0.0711156983896141,0.983333333333333,0.0541666666666667,59,13,227,1
3,19,7,2.9,0.0711156983896141,0.983333333333333,0.0541666666666667,59,13,227,1
3,19,8,0.1,-0.0406641839681122,0.55,0.4,33,96,144,27
3,19,8,0.3,-0.0584734745372375,0.566666666666667,0.3625,34,87,153,26
3,19,8,0.5,-0.083132771470147,0.616666666666667,0.2875,37,69,171,23
3,19,8,0.7,-0.0660304971389042,0.7,0.229166666666667,42,55,185,18
3,19,8,0.9,-0.0833333333333333,0.733333333333333,0.183333333333333,44,44,196,16
3,19,8,1.1,-0.0596079473908079,0.8,0.145833333333333,48,35,205,12
3,19,8,1.3,-0.0679291577161752,0.816666666666667,0.125,49,30,210,11
3,19,8,1.5,-0.0555555555555556,0.866666666666667,0.0916666666666667,52,22,218,8
3,19,8,1.7,-0.0236956180191007,0.9,0.0833333333333333,54,20,220,6
3,19,8,1.9,-0.0191803938482837,0.916666666666667,0.0708333333333333,55,17,223,5
3,19,8,2.1,-0.0216258696327497,0.933333333333333,0.0541666666666667,56,13,227,4
3,19,8,2.3,-0.0680413817439772,0.933333333333333,0.0333333333333333,56,8,232,4
3,19,8,2.5,-0.0586210381760549,0.95,0.025,57,6,234,3
3,19,8,2.7,-0.0724155152527072,0.95,0.0208333333333333,57,5,235,3
3,19,8,2.9,-0.0883236811251039,0.95,0.0166666666666667,57,4,236,3
3,19,9,0.1,0.136913332865564,0.666666666666667,0.504166666666667,40,121,119,20
3,19,9,0.3,0.139294721831043,0.733333333333333,0.4375,44,105,135,16
3,19,9,0.5,0.146133151844098,0.783333333333333,0.391666666666667,47,94,146,13
3,19,9,0.7,0.182217246713916,0.85,0.3625,51,87,153,9
3,19,9,0.9,0.172630860065827,0.866666666666667,0.329166666666667,52,79,161,8
3,19,9,1.1,0.176277560101928,0.9,0.291666666666667,54,70,170,6
3,19,9,1.3,0.168075314615202,0.916666666666667,0.258333333333333,55,62,178,5
3,19,9,1.5,0.205462021745904,0.966666666666667,0.2375,58,57,183,2
3,19,9,1.7,0.178885438199983,0.966666666666667,0.2,58,48,192,2
3,19,9,1.9,0.163366009803268,0.966666666666667,0.179166666666667,58,43,197,2
3,19,9,2.1,0.168498626144182,0.983333333333333,0.158333333333333,59,38,202,1
3,19,9,2.3,0.181710946077908,1,0.145833333333333,60,35,205,0
3,19,9,2.5,0.166666666666667,1,0.125,60,30,210,0
3,19,9,2.7,0.154021517124155,1,0.108333333333333,60,26,214,0
3,19,9,2.9,0.154021517124155,1,0.108333333333333,60,26,214,0
3,19,10,0.1,0.236750859720439,0.75,0.545833333333333,45,131,109,15
3,19,10,0.3,0.257636056922047,0.8,0.520833333333333,48,125,115,12
3,19,10,0.5,0.23814483610392,0.833333333333333,0.458333333333333,50,110,130,10
3,19,10,0.7,0.200545157187356,0.85,0.3875,51,93,147,9
3,19,10,0.9,0.224097036136918,0.9,0.358333333333333,54,86,154,6
3,19,10,1.1,0.252919977537548,0.966666666666667,0.308333333333333,58,74,166,2
3,19,10,1.3,0.22810221269206,0.966666666666667,0.270833333333333,58,65,175,2
3,19,10,1.5,0.218148009076793,0.983333333333333,0.229166666666667,59,55,185,1
3,19,10,1.7,0.183733475602075,0.983333333333333,0.179166666666667,59,43,197,1
3,19,10,1.9,0.165364202309278,0.983333333333333,0.154166666666667,59,37,203,1
3,19,10,2.1,0.169736292294645,1,0.129166666666667,60,31,209,0
3,19,10,2.3,0.166666666666667,1,0.125,60,30,210,0
3,19,10,2.5,0.147441956154897,1,0.1,60,24,216,0
3,19,10,2.7,0.14065622155408,1,0.0916666666666667,60,22,218,0
3,19,10,2.9,0.133630620956212,1,0.0833333333333333,60,20,220,0
4,29,1,0.1,0.00333451915099209,0.516666666666667,0.4875,31,117,123,29
4,29,1,0.3,0.0203845934386892,0.616666666666667,0.408333333333333,37,98,142,23
4,29,1,0.5,0.0280807217343689,0.683333333333333,0.35,41,84,156,19
4,29,1,0.7,0.0323381355259638,0.716666666666667,0.320833333333333,43,77,163,17
4,29,1,0.9,0.0261777834847858,0.75,0.279166666666667,45,67,173,15
4,29,1,1.1,0.0468292905790847,0.8,0.25,48,60,180,12
4,29,1,1.3,0.0493931731278727,0.833333333333333,0.216666666666667,50,52,188,10
4,29,1,1.5,0.0509812741934582,0.85,0.2,51,48,192,9
4,29,1,1.7,0.0709913157420003,0.883333333333333,0.183333333333333,53,44,196,7
4,29,1,1.9,0.0740106490482528,0.9,0.166666666666667,54,40,200,6
4,29,1,2.1,0.0659556066263858,0.9,0.158333333333333,54,38,202,6
4,29,1,2.3,0.0519174131651165,0.916666666666667,0.125,55,30,210,5
4,29,1,2.5,0.0744817528835422,0.95,0.104166666666667,57,25,215,3
4,29,1,2.7,0.065162949552527,0.95,0.0958333333333333,57,23,217,3
4,29,1,2.9,0.100222965717159,0.983333333333333,0.0791666666666667,59,19,221,1
4,29,2,0.1,0.203100491278741,0.866666666666667,0.370833333333333,52,89,151,8
4,29,2,0.3,0.176277560101928,0.9,0.291666666666667,54,70,170,6
4,29,2,0.5,0.157192262096496,0.933333333333333,0.220833333333333,56,53,187,4
4,29,2,0.7,0.118940206690011,0.95,0.15,57,36,204,3
4,29,2,0.9,0.112755752299649,0.983333333333333,0.0916666666666667,59,22,218,1
4,29,2,1.1,0.0912331247822062,0.983333333333333,0.0708333333333333,59,17,223,1
4,29,2,1.3,0.114707866935281,1,0.0625,60,15,225,0
4,29,2,1.5,0.0928476690885259,1,0.0416666666666667,60,10,230,0
4,29,2,1.7,0.0879315572640824,1,0.0375,60,9,231,0
4,29,2,1.9,0.0772832209844659,1,0.0291666666666667,60,7,233,0
4,29,2,2.1,0.0581238193719096,1,0.0166666666666667,60,4,236,0
4,29,2,2.3,0.0502518907629606,1,0.0125,60,3,237,0
4,29,2,2.5,0.040961596025952,1,0.00833333333333333,60,2,238,0
4,29,2,2.7,0.028915746598312,1,0.00416666666666667,60,1,239,0
4,29,2,2.9,0,1,0,60,0,240,0
4,29,3,0.1,0.0300240288384538,0.55,0.4875,33,117,123,27
4,29,3,0.3,0.0639632754237032,0.633333333333333,0.445833333333333,38,107,133,22
4,29,3,0.5,0.058089876074085,0.666666666666667,0.404166666666667,40,97,143,20
4,29,3,0.7,0.0765459366802418,0.716666666666667,0.375,43,90,150,17
4,29,3,0.9,0.130520481086167,0.816666666666667,0.333333333333333,49,80,160,11
4,29,3,1.1,0.150755672288882,0.866666666666667,0.3,52,72,168,8
4,29,3,1.3,0.134715062810913,0.866666666666667,0.279166666666667,52,67,173,8
4,29,3,1.5,0.124724508642861,0.883333333333333,0.245833333333333,53,59,181,7
4,29,3,1.7,0.150755672288882,0.933333333333333,0.2125,56,51,189,4
4,29,3,1.9,0.156524758424985,0.95,0.195833333333333,57,47,193,3
4,29,3,2.1,0.153704111387796,0.966666666666667,0.166666666666667,58,40,200,2
4,29,3,2.3,0.162196413332079,0.983333333333333,0.15,59,36,204,1
4,29,3,2.5,0.172773685116272,1,0.133333333333333,60,32,208,0
4,29,3,2.7,0.166666666666667,1,0.125,60,30,210,0
4,29,3,2.9,0.147441956154897,1,0.1,60,24,216,0
4,29,4,0.1,0.178598030618195,0.75,0.470833333333333,45,113,127,15
4,29,4,0.3,0.214948221532596,0.816666666666667,0.445833333333333,49,107,133,11
4,29,4,0.5,0.192185553399018,0.833333333333333,0.395833333333333,50,95,145,10
