"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn"
2,16,2,1.9,0.0654858345926581,0.983333333333333,0.05,59,12,228,1
2,16,2,2.1,0.05953620902598,0.983333333333333,0.0458333333333333,59,11,229,1
2,16,2,2.3,0.05953620902598,0.983333333333333,0.0458333333333333,59,11,229,1
2,16,2,2.5,0.046423834544263,0.983333333333333,0.0375,59,9,231,1
2,16,2,2.7,0.0310352208225888,0.983333333333333,0.0291666666666667,59,7,233,1
2,16,2,2.9,0.0310352208225888,0.983333333333333,0.0291666666666667,59,7,233,1
2,16,3,0.1,0.102062072615966,0.7,0.425,42,102,138,18
2,16,3,0.3,0.0850678820118227,0.75,0.35,45,84,156,15
2,16,3,0.5,0.0412950620133019,0.766666666666667,0.279166666666667,46,67,173,14
2,16,3,0.7,0.0327352410760158,0.816666666666667,0.216666666666667,49,52,188,11
2,16,3,0.9,0.0405767830562873,0.866666666666667,0.170833333333333,52,41,199,8
2,16,3,1.1,0.0150331093008434,0.883333333333333,0.129166666666667,53,31,209,7
2,16,3,1.3,0.060229006943261,0.933333333333333,0.1125,56,27,213,4
2,16,3,1.5,0.0407666325391857,0.933333333333333,0.0958333333333333,56,23,217,4
2,16,3,1.7,0.0552907335580864,0.95,0.0875,57,21,219,3
2,16,3,1.9,0.027371590578208,0.95,0.0666666666666667,57,16,224,3
2,16,3,2.1,0.021053798026663,0.95,0.0625,57,15,225,3
2,16,3,2.3,0.021053798026663,0.95,0.0625,57,15,225,3
2,16,3,2.5,0.0382359556450936,0.966666666666667,0.0541666666666667,58,13,227,2
2,16,3,2.7,0.05953620902598,0.983333333333333,0.0458333333333333,59,11,229,1
2,16,3,2.9,0.046423834544263,0.983333333333333,0.0375,59,9,231,1
2,16,4,0.1,0.0576804990488869,0.65,0.420833333333333,39,101,139,21
2,16,4,0.3,0.0765459366802418,0.716666666666667,0.375,43,90,150,17
2,16,4,0.5,0.0292853706328711,0.733333333333333,0.3,44,72,168,16
2,16,4,0.7,0.0310731751241902,0.783333333333333,0.25,47,60,180,13
2,16,4,0.9,0.0208333333333333,0.816666666666667,0.204166666666667,49,49,191,11
2,16,4,1.1,0.0405767830562873,0.866666666666667,0.170833333333333,52,41,199,8
2,16,4,1.3,0.0693817872358395,0.916666666666667,0.141666666666667,55,34,206,5
2,16,4,1.5,0.087605828281107,0.95,0.116666666666667,57,28,212,3
2,16,4,1.7,0.0603022689155527,0.95,0.0916666666666667,57,22,218,3
2,16,4,1.9,0.0552907335580864,0.95,0.0875,57,21,219,3
2,16,4,2.1,0.0668153104781061,0.966666666666667,0.075,58,18,222,2
2,16,4,2.3,0.0445043121822695,0.966666666666667,0.0583333333333333,58,14,226,2
2,16,4,2.5,0.0711156983896141,0.983333333333333,0.0541666666666667,59,13,227,1
2,16,4,2.7,0.0654858345926581,0.983333333333333,0.05,59,12,228,1
2,16,4,2.9,0.0390806921173699,0.983333333333333,0.0333333333333333,59,8,232,1
2,16,5,0.1,-0.0112190500649082,0.716666666666667,0.270833333333333,43,65,175,17
2,16,5,0.3,-0.0123482932819682,0.783333333333333,0.204166666666667,47,49,191,13
2,16,5,0.5,0,0.866666666666667,0.133333333333333,52,32,208,8
2,16,5,0.7,0.0277777777777778,0.916666666666667,0.104166666666667,55,25,215,5
2,16,5,0.9,0.0187926253832749,0.933333333333333,0.0791666666666667,56,19,221,4
2,16,5,1.1,0.0088679807228754,0.966666666666667,0.0375,58,9,231,2
2,16,5,1.3,-0.00977017302934249,0.966666666666667,0.0291666666666667,58,7,233,2
2,16,5,1.5,-0.0335012605086404,0.983333333333333,0.00833333333333333,59,2,238,1
2,16,5,1.7,0.028915746598312,1,0.00416666666666667,60,1,239,0
2,16,5,1.9,0,1,0,60,0,240,0
2,16,5,2.1,0,1,0,60,0,240,0
2,16,5,2.3,0,1,0,60,0,240,0
2,16,5,2.5,0,1,0,60,0,240,0
2,16,5,2.7,0,1,0,60,0,240,0
2,16,5,2.9,0,1,0,60,0,240,0
2,16,6,0.1,0.0170103454359943,0.616666666666667,0.404166666666667,37,97,143,23
2,16,6,0.3,0.0707106781186548,0.733333333333333,0.35,44,84,156,16
2,16,6,0.5,0.0457881878913089,0.783333333333333,0.266666666666667,47,64,176,13
2,16,6,0.7,0.0625,0.85,0.2125,51,51,189,9
2,16,6,0.9,0.0618318964800104,0.9,0.154166666666667,54,37,203,6
