"nFactors","total_items","z_threshold","mean_mcc","sd_mcc","mean_sens","mean_spec","n_reps"
8,54,0.5,0.275079987556138,0.0639344278894411,0.715,0.625833333333333,10
8,54,0.7,0.274546856924802,0.0595491119495887,0.753333333333333,0.58875,10
8,54,0.9,0.279439587518193,0.0452824734553485,0.788333333333333,0.56,10
8,54,1.1,0.285422693020345,0.0402840497944953,0.823333333333333,0.53125,10
8,54,1.3,0.287213655148196,0.0527179935529891,0.856666666666667,0.4975,10
8,54,1.5,0.286550003410691,0.046479123046815,0.885,0.46375,10
8,54,1.7,0.280552587345618,0.0404339886878539,0.906666666666667,0.429166666666667,10
8,54,1.9,0.278473204628829,0.0352809351831179,0.925,0.403333333333333,10
8,54,2.1,0.272757464777996,0.0349743063967359,0.941666666666667,0.373333333333333,10
8,54,2.3,0.26237991127193,0.0348686169452743,0.951666666666667,0.344166666666667,10
8,54,2.5,0.253636465634514,0.0349710751283133,0.958333333333333,0.321666666666667,10
8,54,2.7,0.239066978047171,0.0335166641188039,0.963333333333333,0.292083333333333,10
8,54,2.9,0.224095956426642,0.0365765004243827,0.968333333333333,0.2625,10
9,57,0.1,0.284858180578962,0.0818392191696736,0.611666666666667,0.724583333333333,10
9,57,0.3,0.286634455222946,0.0597919411860866,0.66,0.687083333333333,10
9,57,0.5,0.288330033681618,0.0697015182801338,0.713333333333333,0.641666666666667,10
9,57,0.7,0.302583665378842,0.0630889857180405,0.773333333333333,0.6025,10
9,57,0.9,0.29448903452035,0.0642151649042851,0.808333333333333,0.558333333333333,10
9,57,1.1,0.291468261837126,0.0674260113664672,0.838333333333333,0.522916666666667,10
9,57,1.3,0.299269775329157,0.0693933169481405,0.871666666666667,0.497083333333333,10
9,57,1.5,0.300429262207788,0.0691062813996516,0.898333333333333,0.468333333333333,10
9,57,1.7,0.29192670060498,0.0609265350363687,0.915,0.435833333333333,10
9,57,1.9,0.282528613147908,0.0631316213858765,0.928333333333333,0.405833333333333,10
9,57,2.1,0.271579964793592,0.063692235940133,0.941666666666667,0.371666666666667,10
9,57,2.3,0.261067412305162,0.0655230365761604,0.953333333333333,0.340416666666667,10
9,57,2.5,0.254078958854093,0.0681558092325728,0.965,0.31375,10
9,57,2.7,0.245845718922389,0.0630908731526278,0.973333333333333,0.288333333333333,10
9,57,2.9,0.236289442850301,0.0603697701505173,0.98,0.263333333333333,10
10,67,0.1,0.378650161027316,0.0884506228146253,0.646666666666667,0.785,10
10,67,0.3,0.398000433707474,0.0864120600760294,0.71,0.757083333333333,10
10,67,0.5,0.397275217958803,0.0909365377339422,0.751666666666667,0.724166666666667,10
10,67,0.7,0.409944656322921,0.0964108543060861,0.805,0.693333333333333,10
10,67,0.9,0.400926086642515,0.0946703879393816,0.831666666666667,0.660416666666667,10
10,67,1.1,0.39050134580551,0.0851256729316953,0.855,0.626666666666667,10
10,67,1.3,0.373623334980228,0.0893634468760919,0.87,0.591666666666667,10
10,67,1.5,0.36496613645918,0.0854664419483411,0.89,0.56,10
10,67,1.7,0.354923109408596,0.0807269008663694,0.91,0.525,10
10,67,1.9,0.337223509156974,0.0767846700613898,0.916666666666667,0.494166666666667,10
10,67,2.1,0.320465996800975,0.0755904778622004,0.921666666666667,0.465416666666667,10
10,67,2.3,0.314776452841666,0.0726733507392632,0.936666666666667,0.439583333333333,10
10,67,2.5,0.305580505390931,0.0770175830708419,0.946666666666667,0.414583333333333,10
10,67,2.7,0.293349953091148,0.0785910350272531,0.953333333333333,0.388333333333333,10
10,67,2.9,0.280264815919409,0.0850456322434991,0.958333333333333,0.362916666666667,10
11,73,0.1,0.442890091116403,0.0727665786916777,0.653333333333333,0.830416666666667,10
11,73,0.3,0.441642606887276,0.0700485226209502,0.695,0.80375,10
11,73,0.5,0.446537596177341,0.0683199230880124,0.738333333333333,0.778333333333333,10
11,73,0.7,0.445706434353072,0.0693968257893738,0.775,0.751666666666667,10
11,73,0.9,0.455023448802282,0.0745560925092817,0.815,0.730833333333333,10
11,73,1.1,0.445886564506973,0.081231175628931,0.841666666666667,0.700833333333333,10
11,73,1.3,0.440801775619021,0.063126180563973,0.871666666666667,0.670833333333333,10
11,73,1.5,0.435765422137132,0.0576104434636436,0.896666666666667,0.642083333333333,10
11,73,1.7,0.424929176270423,0.0467736629190599,0.921666666666667,0.605416666666667,10
11,73,1.9,0.412106727645156,0.0476366401624777,0.93,0.58,10
11,73,2.1,0.397232326477171,0.046853853721893,0.94,0.55,10
11,73,2.3,0.383495748241796,0.0437586375663835,0.948333333333333,0.5225,10
11,73,2.5,0.370757711300049,0.0430299990851627,0.958333333333333,0.493333333333333,10
11,73,2.7,0.358848573647307,0.0445993908857593,0.97,0.461666666666667,10
11,73,2.9,0.342357507549763,0.0491960866384363,0.976666666666667,0.42875,10
12,76,0.1,0.37128565735038,0.0598078215094931,0.588333333333333,0.819166666666667,10
12,76,0.3,0.394893520823226,0.073852777224518,0.66,0.790833333333333,10
12,76,0.5,0.397976191967924,0.0768331530737946,0.705,0.760833333333333,10
12,76,0.7,0.402028531504695,0.0714111802964622,0.746666666666667,0.733333333333333,10
12,76,0.9,0.41061437625077,0.0674293241428142,0.785,0.71125,10
12,76,1.1,0.402206250519218,0.0643922423597855,0.811666666666667,0.68,10
12,76,1.3,0.400702518214056,0.0796203075364258,0.845,0.648333333333333,10
12,76,1.5,0.398953137646344,0.0727548983517162,0.873333333333333,0.620416666666667,10
12,76,1.7,0.395311939479263,0.0650943611767686,0.901666666666667,0.5875,10
12,76,1.9,0.387189984186892,0.0581797866010342,0.923333333333333,0.554166666666667,10
12,76,2.1,0.368722900565184,0.0581909122342836,0.93,0.522083333333333,10
12,76,2.3,0.357542402581462,0.0642337326675414,0.943333333333333,0.490833333333333,10
12,76,2.5,0.337169641243945,0.0631506161166976,0.951666666666667,0.453333333333333,10
12,76,2.7,0.321315363300746,0.0631965490618195,0.956666666666667,0.424166666666667,10
12,76,2.9,0.311728310473011,0.0637566266607758,0.966666666666667,0.397083333333333,10
13,86,0.1,0.461579035242959,0.0487605948801916,0.565,0.891666666666667,10
13,86,0.3,0.47254930195997,0.0637045787324173,0.623333333333333,0.868333333333333,10
13,86,0.5,0.478402203785289,0.053180494454891,0.678333333333333,0.842083333333333,10
13,86,0.7,0.498081511849587,0.0662695401370951,0.741666666666667,0.81875,10
13,86,0.9,0.484595800734462,0.0680207377059249,0.768333333333333,0.79125,10
13,86,1.1,0.477383635479828,0.0612362330361138,0.8,0.763333333333333,10
13,86,1.3,0.47059246512001,0.0608322365149242,0.826666666666667,0.7375,10
13,86,1.5,0.456399130161264,0.0608532695975429,0.851666666666667,0.703333333333333,10
13,86,1.7,0.452244135815998,0.0597898632507219,0.87,0.684166666666667,10
13,86,1.9,0.431424920481545,0.0644326277864583,0.881666666666667,0.650833333333333,10
13,86,2.1,0.417705505126648,0.0665846575630034,0.9,0.618333333333333,10
13,86,2.3,0.40144410662681,0.0594060614098881,0.908333333333333,0.590416666666667,10
13,86,2.5,0.390861452014022,0.0631087710608283,0.925,0.56,10
13,86,2.7,0.390314633663088,0.0495116862397647,0.948333333333333,0.532916666666667,10
13,86,2.9,0.369513431124853,0.0438522546429347,0.958333333333333,0.4925,10
14,92,0.1,0.466002312668652,0.109223024993118,0.555,0.9,10
14,92,0.3,0.48416057034765,0.0969006336934809,0.621666666666667,0.878333333333333,10
14,92,0.5,0.491140898734796,0.0885266597973358,0.675,0.854583333333333,10
14,92,0.7,0.491571707333187,0.0905772463591369,0.716666666666667,0.830833333333333,10
14,92,0.9,0.497131759026312,0.080331198848408,0.756666666666667,0.81125,10
14,92,1.1,0.490400399405828,0.0768278142233543,0.786666666666667,0.78625,10
